file	taxid	url
GCF_000092425.1_ASM9242v1_genomic.fna	649638	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/092/425/GCF_000092425.1_ASM9242v1/GCF_000092425.1_ASM9242v1_genomic.fna.gz
GCF_002902985.1_ASM290298v1_genomic.fna	1920114	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/902/985/GCF_002902985.1_ASM290298v1/GCF_002902985.1_ASM290298v1_genomic.fna.gz
GCF_000940825.1_ASM94082v1_genomic.fna	129394	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/940/825/GCF_000940825.1_ASM94082v1/GCF_000940825.1_ASM94082v1_genomic.fna.gz
GCF_001466505.1_ASM146650v1_genomic.fna	64187	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/466/505/GCF_001466505.1_ASM146650v1/GCF_001466505.1_ASM146650v1_genomic.fna.gz
GCF_002934585.1_ASM293458v1_genomic.fna	1920110	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/934/585/GCF_002934585.1_ASM293458v1/GCF_002934585.1_ASM293458v1_genomic.fna.gz
GCF_001021935.1_ASM102193v1_genomic.fna	487909	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/021/935/GCF_001021935.1_ASM102193v1/GCF_001021935.1_ASM102193v1_genomic.fna.gz
GCF_000175115.2_ASM17511v2_genomic.fna	443143	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/175/115/GCF_000175115.2_ASM17511v2/GCF_000175115.2_ASM17511v2_genomic.fna.gz
GCF_003952345.1_ASM395234v1_genomic.fna	2496266	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/952/345/GCF_003952345.1_ASM395234v1/GCF_003952345.1_ASM395234v1_genomic.fna.gz
GCF_000093025.1_ASM9302v1_genomic.fna	666681	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/093/025/GCF_000093025.1_ASM9302v1/GCF_000093025.1_ASM9302v1_genomic.fna.gz
GCF_002843965.1_ASM284396v1_genomic.fna	162426	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/843/965/GCF_002843965.1_ASM284396v1/GCF_002843965.1_ASM284396v1_genomic.fna.gz
GCF_001664485.1_ASM166448v1_genomic.fna	1703969	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/664/485/GCF_001664485.1_ASM166448v1/GCF_001664485.1_ASM166448v1_genomic.fna.gz
GCF_002222635.1_ASM222263v1_genomic.fna	1402135	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/222/635/GCF_002222635.1_ASM222263v1/GCF_002222635.1_ASM222263v1_genomic.fna.gz
GCF_003261575.2_ASM326157v2_genomic.fna	2153354	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/261/575/GCF_003261575.2_ASM326157v2/GCF_003261575.2_ASM326157v2_genomic.fna.gz
GCF_000757795.1_ASM75779v1_genomic.fna	693986	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/757/795/GCF_000757795.1_ASM75779v1/GCF_000757795.1_ASM75779v1_genomic.fna.gz
GCF_001278845.1_ASM127884v1_genomic.fna	712122	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/278/845/GCF_001278845.1_ASM127884v1/GCF_001278845.1_ASM127884v1_genomic.fna.gz
GCF_001610895.1_ASM161089v1_genomic.fna	1636152	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/610/895/GCF_001610895.1_ASM161089v1/GCF_001610895.1_ASM161089v1_genomic.fna.gz
GCF_000176835.2_ASM17683v2_genomic.fna	682634	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/176/835/GCF_000176835.2_ASM17683v2/GCF_000176835.2_ASM17683v2_genomic.fna.gz
GCF_000214235.1_ASM21423v1_genomic.fna	768492	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/235/GCF_000214235.1_ASM21423v1/GCF_000214235.1_ASM21423v1_genomic.fna.gz
GCF_000261045.2_ASM26104v2_genomic.fna	1154756	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/261/045/GCF_000261045.2_ASM26104v2/GCF_000261045.2_ASM26104v2_genomic.fna.gz
GCF_000438825.1_ASM43882v1_genomic.fna	1348660	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/438/825/GCF_000438825.1_ASM43882v1/GCF_000438825.1_ASM43882v1_genomic.fna.gz
GCF_004193915.1_ASM419391v1_genomic.fna	2518599	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/193/915/GCF_004193915.1_ASM419391v1/GCF_004193915.1_ASM419391v1_genomic.fna.gz
GCF_004777465.1_ASM477746v1_genomic.fna	402297	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/777/465/GCF_004777465.1_ASM477746v1/GCF_004777465.1_ASM477746v1_genomic.fna.gz
GCF_005885815.1_ASM588581v1_genomic.fna	2580412	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/885/815/GCF_005885815.1_ASM588581v1/GCF_005885815.1_ASM588581v1_genomic.fna.gz
GCF_001414055.1_ASM141405v1_genomic.fna	69395	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/414/055/GCF_001414055.1_ASM141405v1/GCF_001414055.1_ASM141405v1_genomic.fna.gz
GCF_002998695.1_ASM299869v1_genomic.fna	2081703	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/998/695/GCF_002998695.1_ASM299869v1/GCF_002998695.1_ASM299869v1_genomic.fna.gz
GCF_003612895.1_ASM361289v1_genomic.fna	2109558	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/612/895/GCF_003612895.1_ASM361289v1/GCF_003612895.1_ASM361289v1_genomic.fna.gz
GCF_001975705.1_ASM197570v1_genomic.fna	1250539	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/975/705/GCF_001975705.1_ASM197570v1/GCF_001975705.1_ASM197570v1_genomic.fna.gz
GCF_003574215.1_ASM357421v1_genomic.fna	297	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/574/215/GCF_003574215.1_ASM357421v1/GCF_003574215.1_ASM357421v1_genomic.fna.gz
GCF_000009225.2_ASM922v1_genomic.fna	216595	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/225/GCF_000009225.2_ASM922v1/GCF_000009225.2_ASM922v1_genomic.fna.gz
GCF_000012445.1_ASM1244v1_genomic.fna	205922	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/012/445/GCF_000012445.1_ASM1244v1/GCF_000012445.1_ASM1244v1_genomic.fna.gz
GCF_000237065.1_ASM23706v1_genomic.fna	1114970	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/237/065/GCF_000237065.1_ASM23706v1/GCF_000237065.1_ASM23706v1_genomic.fna.gz
GCF_000262325.2_ASM26232v2_genomic.fna	1037911	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/262/325/GCF_000262325.2_ASM26232v2/GCF_000262325.2_ASM26232v2_genomic.fna.gz
GCF_000293885.2_ASM29388v3_genomic.fna	1221522	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/293/885/GCF_000293885.2_ASM29388v3/GCF_000293885.2_ASM29388v3_genomic.fna.gz
GCF_000963495.1_ASM96349v1_genomic.fna	1334632	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/963/495/GCF_000963495.1_ASM96349v1/GCF_000963495.1_ASM96349v1_genomic.fna.gz
GCF_004102925.1_ASM410292v1_genomic.fna	293	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/102/925/GCF_004102925.1_ASM410292v1/GCF_004102925.1_ASM410292v1_genomic.fna.gz
GCF_900537995.1_Roseburia_intestinalis_strain_L1-82_genomic.fna	536231	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/537/995/GCF_900537995.1_Roseburia_intestinalis_strain_L1-82/GCF_900537995.1_Roseburia_intestinalis_strain_L1-82_genomic.fna.gz
GCF_002025645.1_ASM202564v1_genomic.fna	69373	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/025/645/GCF_002025645.1_ASM202564v1/GCF_002025645.1_ASM202564v1_genomic.fna.gz
GCF_000196795.1_ASM19679v1_genomic.fna	436717	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/196/795/GCF_000196795.1_ASM19679v1/GCF_000196795.1_ASM19679v1_genomic.fna.gz
GCF_003585765.1_ASM358576v1_genomic.fna	323450	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/585/765/GCF_003585765.1_ASM358576v1/GCF_003585765.1_ASM358576v1_genomic.fna.gz
GCF_001399775.1_ASM139977v1_genomic.fna	498848	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/399/775/GCF_001399775.1_ASM139977v1/GCF_001399775.1_ASM139977v1_genomic.fna.gz
GCF_000008125.1_ASM812v1_genomic.fna	262724	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/008/125/GCF_000008125.1_ASM812v1/GCF_000008125.1_ASM812v1_genomic.fna.gz
GCF_000091545.1_ASM9154v1_genomic.fna	300852	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/091/545/GCF_000091545.1_ASM9154v1/GCF_000091545.1_ASM9154v1_genomic.fna.gz
GCF_000214845.1_ASM21484v1_genomic.fna	762633	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/214/845/GCF_000214845.1_ASM21484v1/GCF_000214845.1_ASM21484v1_genomic.fna.gz
GCF_000258245.1_ASM25824v1_genomic.fna	798128	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/258/245/GCF_000258245.1_ASM25824v1/GCF_000258245.1_ASM25824v1_genomic.fna.gz
GCF_002237535.1_ASM223753v1_genomic.fna	1249553	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/237/535/GCF_002237535.1_ASM223753v1/GCF_002237535.1_ASM223753v1_genomic.fna.gz
GCF_001444425.1_ASM144442v1_genomic.fna	1249552	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/444/425/GCF_001444425.1_ASM144442v1/GCF_001444425.1_ASM144442v1_genomic.fna.gz
GCF_002007485.1_ASM200748v1_genomic.fna	1686310	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/007/485/GCF_002007485.1_ASM200748v1/GCF_002007485.1_ASM200748v1_genomic.fna.gz
GCF_004103735.1_ASM410373v1_genomic.fna	2507160	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/103/735/GCF_004103735.1_ASM410373v1/GCF_004103735.1_ASM410373v1_genomic.fna.gz
GCF_004103715.1_ASM410371v1_genomic.fna	2507161	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/103/715/GCF_004103715.1_ASM410371v1/GCF_004103715.1_ASM410371v1_genomic.fna.gz
GCF_004103755.1_ASM410375v1_genomic.fna	2507162	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/004/103/755/GCF_004103755.1_ASM410375v1/GCF_004103755.1_ASM410375v1_genomic.fna.gz
GCF_000163055.2_ASM16305v2_genomic.fna	575614	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/055/GCF_000163055.2_ASM16305v2/GCF_000163055.2_ASM16305v2_genomic.fna.gz
GCF_002073815.2_ASM207381v2_genomic.fna	1839799	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/002/073/815/GCF_002073815.2_ASM207381v2/GCF_002073815.2_ASM207381v2_genomic.fna.gz
GCF_001277235.1_ASM127723v1_genomic.fna	1159554	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/277/235/GCF_001277235.1_ASM127723v1/GCF_001277235.1_ASM127723v1_genomic.fna.gz
GCF_003568865.1_ASM356886v1_genomic.fna	2051957	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/003/568/865/GCF_003568865.1_ASM356886v1/GCF_003568865.1_ASM356886v1_genomic.fna.gz
GCF_900475285.1_43222_B01_genomic.fna	47884	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/900/475/285/GCF_900475285.1_43222_B01/GCF_900475285.1_43222_B01_genomic.fna.gz
