sample	patient
SRR5023381	BC01
SRR5023382	BC01
SRR5023383	BC01
SRR5023384	BC01
SRR5023385	BC01
SRR5023386	BC02
SRR5023387	BC02
SRR5023388	BC02
SRR5023389	BC02
SRR5023390	BC02
SRR5023391	BC02
SRR5023392	BC02
SRR5023393	BC02
SRR5023394	BC02
SRR5023395	BC02
SRR5023396	BC02
SRR5023397	BC02
SRR5023398	BC02
SRR5023399	BC02
SRR5023400	BC02
SRR5023401	BC02
SRR5023402	BC02
SRR5023403	BC02
SRR5023404	BC02
SRR5023405	BC02
SRR5023406	BC02
SRR5023407	BC02
SRR5023408	BC02
SRR5023409	BC02
SRR5023410	BC02
SRR5023411	BC02
SRR5023412	BC02
SRR5023413	BC02
SRR5023414	BC02
SRR5023415	BC02
SRR5023416	BC02
SRR5023417	BC02
SRR5023418	BC02
SRR5023419	BC02
SRR5023420	BC02
SRR5023421	BC02
SRR5023422	BC02
SRR5023423	BC02
SRR5023424	BC02
SRR5023425	BC02
SRR5023426	BC02
SRR5023427	BC02
SRR5023428	BC02
SRR5023429	BC02
SRR5023430	BC02
SRR5023431	BC02
SRR5023432	BC02
SRR5023433	BC02
SRR5023434	BC02
SRR5023435	BC02
SRR5023436	BC02
SRR5023437	BC02
SRR5023438	BC02
SRR5023439	BC02
SRR5023440	BC02
SRR5023441	BC02
SRR5023442	BC03
SRR5023443	BC03
SRR5023444	BC03
SRR5023445	BC03
SRR5023446	BC03LN
SRR5023447	BC03LN
SRR5023448	BC04
SRR5023449	BC04
SRR5023450	BC04
SRR5023451	BC04
SRR5023452	BC04
SRR5023453	BC04
SRR5023454	BC04
SRR5023455	BC04
SRR5023456	BC05
SRR5023457	BC05
SRR5023458	BC05
SRR5023459	BC05
SRR5023460	BC05
SRR5023461	BC05
SRR5023462	BC05
SRR5023463	BC05
SRR5023464	BC05
SRR5023465	BC05
SRR5023466	BC05
SRR5023467	BC05
SRR5023468	BC05
SRR5023469	BC05
SRR5023470	BC05
SRR5023471	BC05
SRR5023472	BC05
SRR5023473	BC05
SRR5023474	BC05
SRR5023475	BC05
SRR5023476	BC05
