sample	type	index	index2	index3
BC09_Re_39	SC	nonTumor	Immune	Tcell
BC09_Re_41	SC	nonTumor	Immune	Tcell
BC09_Re_43	SC	nonTumor	Immune	Tcell
BC09_Re_44	SC	nonTumor	Immune	Myeloid
BC09_Re_46	SC	nonTumor	Immune	Myeloid
BC09_Re_54	SC	nonTumor	Immune	Tcell
BC09_Re_57	SC	nonTumor	Immune	Tcell
BC09_Re_59	SC	nonTumor	Immune	Myeloid
BC09_Re_60	SC	nonTumor	Immune	Tcell
BC09_Re_61	SC	nonTumor	Immune	Bcell
BC09_Re_62	SC	nonTumor	Immune	Tcell
BC09_Re_66	SC	nonTumor	Immune	Tcell
BC09_Re_74	SC	nonTumor	Immune	Tcell
BC09_Re_80	SC	nonTumor	Immune	Myeloid
BC09_Re_83	SC	nonTumor	Immune	Tcell
BC09_Re_88	SC	nonTumor	Immune	Myeloid
BC09_Re_94	SC	nonTumor	Immune	Tcell
BC09_Re_95	SC	nonTumor	Immune	Tcell
BC10_07	SC	nonTumor	Immune	Myeloid
BC10_09	SC	Tumor	Tumor	Tumor
BC10_16	SC	Tumor	Tumor	Tumor
BC10_20	SC	nonTumor	Stromal	Stromal
BC10_43	SC	nonTumor	Immune	Myeloid
BC10_47	SC	Tumor	Tumor	Tumor
BC10_54	SC	Tumor	Tumor	Tumor
BC10_58	SC	Tumor	Tumor	Tumor
BC10_67	SC	nonTumor	Stromal	Stromal
BC10_69	SC	Tumor	Tumor	Tumor
BC10_73	SC	Tumor	Tumor	Tumor
BC10_80	SC	Tumor	Tumor	Tumor
BC10_81	SC	Tumor	Tumor	Tumor
BC10_85	SC	Tumor	Tumor	Tumor
BC10_95	SC	Tumor	Tumor	Tumor
BC10_Pooled	Bulk	Tumor	Tumor	Tumor
BC02_02	SC	Tumor	Tumor	Tumor
BC02_08	SC	Tumor	Tumor	Tumor
BC02_09	SC	Tumor	Tumor	Tumor
BC02_10	SC	Tumor	Tumor	Tumor
BC02_11	SC	Tumor	Tumor	Tumor
BC02_12	SC	Tumor	Tumor	Tumor
BC02_13	SC	Tumor	Tumor	Tumor
BC02_14	SC	Tumor	Tumor	Tumor
BC02_15	SC	Tumor	Tumor	Tumor
BC02_18	SC	Tumor	Tumor	Tumor
BC02_19	SC	Tumor	Tumor	Tumor
BC02_22	SC	Tumor	Tumor	Tumor
BC02_24	SC	Tumor	Tumor	Tumor
BC02_25	SC	Tumor	Tumor	Tumor
BC02_26	SC	Tumor	Tumor	Tumor
BC02_28	SC	Tumor	Tumor	Tumor
BC02_31	SC	Tumor	Tumor	Tumor
BC02_34	SC	Tumor	Tumor	Tumor
BC02_44	SC	Tumor	Tumor	Tumor
BC02_47	SC	Tumor	Tumor	Tumor
BC02_50	SC	Tumor	Tumor	Tumor
BC02_51	SC	Tumor	Tumor	Tumor
BC02_53	SC	Tumor	Tumor	Tumor
BC02_54	SC	Tumor	Tumor	Tumor
BC02_55	SC	Tumor	Tumor	Tumor
BC02_58	SC	Tumor	Tumor	Tumor
BC02_59	SC	Tumor	Tumor	Tumor
BC02_60	SC	Tumor	Tumor	Tumor
BC02_61	SC	Tumor	Tumor	Tumor
BC02_62	SC	Tumor	Tumor	Tumor
BC02_63	SC	Tumor	Tumor	Tumor
BC02_64	SC	Tumor	Tumor	Tumor
BC02_66	SC	Tumor	Tumor	Tumor
BC02_67	SC	Tumor	Tumor	Tumor
BC02_68	SC	Tumor	Tumor	Tumor
BC02_70	SC	Tumor	Tumor	Tumor
BC02_71	SC	Tumor	Tumor	Tumor
BC02_73	SC	Tumor	Tumor	Tumor
BC02_74	SC	Tumor	Tumor	Tumor
BC02_75	SC	Tumor	Tumor	Tumor
BC02_76	SC	Tumor	Tumor	Tumor
BC02_79	SC	Tumor	Tumor	Tumor
BC02_81	SC	Tumor	Tumor	Tumor
BC02_82	SC	Tumor	Tumor	Tumor
BC02_83	SC	Tumor	Tumor	Tumor
BC02_86	SC	Tumor	Tumor	Tumor
BC02_88	SC	Tumor	Tumor	Tumor
BC02_89	SC	Tumor	Tumor	Tumor
BC02_90	SC	Tumor	Tumor	Tumor
BC02_93	SC	Tumor	Tumor	Tumor
BC02_94	SC	Tumor	Tumor	Tumor
BC02_95	SC	Tumor	Tumor	Tumor
BC02_96	SC	Tumor	Tumor	Tumor
BC02_Pooled	Bulk	Tumor	Tumor	Tumor
BC05_01	SC	Tumor	Tumor	Tumor
BC05_02	SC	Tumor	Tumor	Tumor
BC05_04	SC	Tumor	Tumor	Tumor
BC05_07	SC	Tumor	Tumor	Tumor
BC05_08	SC	Tumor	Tumor	Tumor
BC05_09	SC	Tumor	Tumor	Tumor
BC05_12	SC	Tumor	Tumor	Tumor
BC05_13	SC	Tumor	Tumor	Tumor
BC05_16	SC	Tumor	Tumor	Tumor
BC05_17	SC	Tumor	Tumor	Tumor
BC05_18	SC	Tumor	Tumor	Tumor
BC05_20	SC	Tumor	Tumor	Tumor
BC05_21	SC	Tumor	Tumor	Tumor
BC05_22	SC	Tumor	Tumor	Tumor
BC05_23	SC	Tumor	Tumor	Tumor
BC05_25	SC	Tumor	Tumor	Tumor
BC05_26	SC	Tumor	Tumor	Tumor
BC05_27	SC	Tumor	Tumor	Tumor
BC05_28	SC	Tumor	Tumor	Tumor
BC05_29	SC	Tumor	Tumor	Tumor
BC05_30	SC	Tumor	Tumor	Tumor
BC05_31	SC	Tumor	Tumor	Tumor
BC05_32	SC	Tumor	Tumor	Tumor
BC05_33	SC	Tumor	Tumor	Tumor
BC05_34	SC	Tumor	Tumor	Tumor
BC05_35	SC	Tumor	Tumor	Tumor
BC05_36	SC	Tumor	Tumor	Tumor
BC05_37	SC	Tumor	Tumor	Tumor
BC05_38	SC	Tumor	Tumor	Tumor
BC05_39	SC	Tumor	Tumor	Tumor
BC05_41	SC	Tumor	Tumor	Tumor
BC05_42	SC	Tumor	Tumor	Tumor
BC05_43	SC	Tumor	Tumor	Tumor
BC05_44	SC	Tumor	Tumor	Tumor
BC05_45	SC	Tumor	Tumor	Tumor
BC05_46	SC	Tumor	Tumor	Tumor
BC05_47	SC	Tumor	Tumor	Tumor
BC05_48	SC	Tumor	Tumor	Tumor
BC05_49	SC	Tumor	Tumor	Tumor
BC05_50	SC	Tumor	Tumor	Tumor
BC05_52	SC	Tumor	Tumor	Tumor
BC05_53	SC	Tumor	Tumor	Tumor
BC05_55	SC	Tumor	Tumor	Tumor
BC05_57	SC	Tumor	Tumor	Tumor
BC05_59	SC	Tumor	Tumor	Tumor
BC05_60	SC	Tumor	Tumor	Tumor
BC05_61	SC	Tumor	Tumor	Tumor
BC05_62	SC	Tumor	Tumor	Tumor
BC05_63	SC	Tumor	Tumor	Tumor
BC05_64	SC	Tumor	Tumor	Tumor
BC05_68	SC	Tumor	Tumor	Tumor
