patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C106	C106_N_1_1_3_c1_v2	No	SRR15652843	C106_N_1_1_3_c1_v2_HG23HALXX L006	LiveMACS	v2
C106	C106_T_1_1_0_c1_v2	Yes	SRR15652844	C106_T_1_1_0_c1_v2_HG23HALXX L005	unsorted	v2
C106	C106_T_1_1_0_c1_v2	Yes	SRR15652845	C106_T_1_1_0_c1_v2_HG23HALXX L006	unsorted	v2
C106	C106_T_1_1_3_c1_v2	Yes	SRR15652846	C106_T_1_1_3_c1_v2_HG23HALXX L005	LiveMACS	v2
C106	C106_T_1_1_3_c1_v2	Yes	SRR15652847	C106_T_1_1_3_c1_v2_HG23HALXX L006	LiveMACS	v2
C107	C107_N_1_1_0_c1_v2	No	SRR15652848	C107_N_1_1_0_c1_v2_HCLW3ALXX L008	unsorted	v2
C107	C107_N_1_1_0_c1_v2	No	SRR15652849	C107_N_1_1_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C107	C107_T_1_1_0_c1_v2	Yes	SRR15652850	C107_T_1_1_0_c1_v2_HCLW3ALXX L008	unsorted	v2
C107	C107_T_1_1_0_c1_v2	Yes	SRR15652851	C107_T_1_1_0_c1_v2_HG2HCCCXY L005_R1	unsorted	v2
C107	C107_T_1_1_1_c1_v2	Yes	SRR15652852	C107_T_1_1_1_c1_v2_HCLW3ALXX L008	CD45pMACS	v2
C107	C107_T_1_1_1_c1_v2	Yes	SRR15652853	C107_T_1_1_1_c1_v2_HG3C3CCXY L002	CD45pMACS	v2
C107	C107_T_1_1_3_c1_v2	Yes	SRR15652854	C107_T_1_1_3_c1_v2_HCLW3ALXX L008	LiveMACS	v2
C109	C109_N_0_1_0_c1_v2	No	SRR15652855	C109_N_0_1_0_c1_v2_HCJWHALXX L007	unsorted	v2
C109	C109_N_0_1_0_c1_v2	No	SRR15652856	C109_N_0_1_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C109	C109_T_0_1_0_c1_v2	Yes	SRR15652857	C109_T_0_1_0_c1_v2_HCJWHALXX L007	unsorted	v2
C109	C109_T_0_1_0_c1_v2	Yes	SRR15652858	C109_T_0_1_0_c1_v2_HG2HCCCXY L001_R1	unsorted	v2
C109	C109_T_0_1_1_c1_v2	Yes	SRR15652859	C109_T_0_1_1_c1_v2_HCJWHALXX L007	CD45pMACS	v2
C110	C110_N_1_1_0_c1_v2	No	SRR15652860	C110_N_1_1_0_c1_v2_HFLLFALXX L003	unsorted	v2
C110	C110_T_1_1_0_c1_v2	Yes	SRR15652861	C110_T_1_1_0_c1_v2_HFLLFALXX L003	unsorted	v2
C110	C110_T_1_1_1_c1_v2	Yes	SRR15652862	C110_T_1_1_1_c1_v2_HFLLFALXX L003	CD45pMACS	v2
C111	C111_N_0_2_0_c1_v2	No	SRR15652863	C111_N_0_2_0_c1_v2_HFLLFALXX L004	unsorted	v2
C111	C111_N_0_2_0_c1_v2	No	SRR15652864	C111_N_0_2_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C111	C111_N_0_2_1_c1_v2	No	SRR15652865	C111_N_0_2_1_c1_v2_HFLLFALXX L004	CD45pMACS	v2
C111	C111_N_0_2_1_c1_v2	No	SRR15652866	C111_N_0_2_1_c1_v2_HG3C3CCXY L004	CD45pMACS	v2
C111	C111_T_0_2_0_c1_v2	Yes	SRR15652867	C111_T_0_2_0_c1_v2_HFLLFALXX L004	unsorted	v2
C111	C111_T_0_2_0_c1_v2	Yes	SRR15652868	C111_T_0_2_0_c1_v2_HG2HCCCXY L006_R1	unsorted	v2
C111	C111_T_0_2_0_c2_v2	Yes	SRR15652869	C111_T_0_2_0_c2_v2_HKL27ALXX L004	unsorted	v2
C111	C111_T_0_2_1_c1_v2	Yes	SRR15652870	C111_T_0_2_1_c1_v2_HFLLFALXX L004	CD45pMACS	v2
C112	C112_N_0_1_2_c1_v2	No	SRR15652871	C112_N_0_1_2_c1_v2_HFLLFALXX L005	mixUnsortCD45MACS	v2
C112	C112_N_0_1_2_c1_v2	No	SRR15652872	C112_N_0_1_2_c1_v2_HG2HCCCXY L008_R1	mixUnsortCD45MACS	v2
C112	C112_N_0_1_2_c1_v2	No	SRR15652873	C112_N_0_1_2_c1_v2_HG3TKCCXY L008_R1	mixUnsortCD45MACS	v2
C112	C112_T_0_1_0_c1_v2	Yes	SRR15652874	C112_T_0_1_0_c1_v2_HFLLFALXX L005	unsorted	v2
C112	C112_T_0_1_0_c1_v2	Yes	SRR15652875	C112_T_0_1_0_c1_v2_HG2HCCCXY L001_R1	unsorted	v2
C112	C112_T_0_1_1_c1_v2	Yes	SRR15652876	C112_T_0_1_1_c1_v2_HFLLFALXX L005	CD45pMACS	v2
C113	C113_N_1_1_0_c1_v2	No	SRR15652877	C113_N_1_1_0_c1_v2_HKL27ALXX L001	unsorted	v2
C113	C113_T_1_1_0_c1_v2	Yes	SRR15652878	C113_T_1_1_0_c1_v2_HG2HCCCXY L001_R1	unsorted	v2
C113	C113_T_1_1_0_c1_v2	Yes	SRR15652879	C113_T_1_1_0_c1_v2_HKL27ALXX L001	unsorted	v2
C113	C113_T_1_1_1_c1_v2	Yes	SRR15652880	C113_T_1_1_1_c1_v2_HG2HCCCXY L007_R1	CD45pMACS	v2
C113	C113_T_1_1_1_c1_v2	Yes	SRR15652881	C113_T_1_1_1_c1_v2_HKL27ALXX L001	CD45pMACS	v2
C114	C114_N_1_1_2_c1_v2	No	SRR15652882	C114_N_1_1_2_c1_v2_HG3C3CCXY L004	mixUnsortCD45MACS	v2
C114	C114_N_1_1_2_c1_v2	No	SRR15652883	C114_N_1_1_2_c1_v2_HKL27ALXX L002	mixUnsortCD45MACS	v2
C114	C114_T_1_1_0_c1_v2	Yes	SRR15652884	C114_T_1_1_0_c1_v2_HG2HCCCXY L002_R1	unsorted	v2
C114	C114_T_1_1_0_c1_v2	Yes	SRR15652885	C114_T_1_1_0_c1_v2_HKL27ALXX L002	unsorted	v2
C114	C114_T_1_1_1_c1_v2	Yes	SRR15652886	C114_T_1_1_1_c1_v2_HG2HCCCXY L007_R1	CD45pMACS	v2
C114	C114_T_1_1_1_c1_v2	Yes	SRR15652887	C114_T_1_1_1_c1_v2_HKL27ALXX L002	CD45pMACS	v2
C115	C115_N_1_1_2_c1_v2	No	SRR15652888	C115_N_1_1_2_c1_v2_HK7T7ALXX L002	mixUnsortCD45MACS	v2
C115	C115_T_1_1_1_c1_v2	Yes	SRR15652889	C115_T_1_1_1_c1_v2_HK7T7ALXX L002	CD45pMACS	v2
C115	C115_T_1_1_2_c1_v2	Yes	SRR15652890	C115_T_1_1_2_c1_v2_HK7T7ALXX L002	mixUnsortCD45MACS	v2
C116	C116_N_0_2_2_c1_v2	No	SRR15652891	C116_N_0_2_2_c1_v2_H2HL7CCXY L008	mixUnsortCD45MACS	v2
C116	C116_N_0_2_2_c1_v2	No	SRR15652892	C116_N_0_2_2_c1_v2_HG2HCCCXY L008_R1	mixUnsortCD45MACS	v2
C116	C116_N_0_2_2_c1_v2	No	SRR15652893	C116_N_0_2_2_c1_v2_HG3TKCCXY L008_R1	mixUnsortCD45MACS	v2
C116	C116_T_0_2_0_c1_v2	Yes	SRR15652894	C116_T_0_2_0_c1_v2_H2HL7CCXY L008	unsorted	v2
C116	C116_T_0_2_1_c1_v2	Yes	SRR15652895	C116_T_0_2_1_c1_v2_H2HL7CCXY L008	CD45pMACS	v2
C116	C116_T_0_2_2_c1_v2	Yes	SRR15652896	C116_T_0_2_2_c1_v2_H2HL7CCXY L008	mixUnsortCD45MACS	v2
C118	C118_T_1_1_1_c1_v2	Yes	SRR15652897	C118_T_1_1_1_c1_v2_H2HL7CCXY L007	CD45pMACS	v2
C118	C118_T_1_1_1_c1_v2	Yes	SRR15652898	C118_T_1_1_1_c1_v2_HG3C3CCXY L002	CD45pMACS	v2
C118	C118_T_1_1_2_c1_v2	Yes	SRR15652899	C118_T_1_1_2_c1_v2_H2HL7CCXY L007	mixUnsortCD45MACS	v2
C118	C118_T_1_1_2_c1_v2	Yes	SRR15652900	C118_T_1_1_2_c1_v2_HG2HCCCXY L003_R1	mixUnsortCD45MACS	v2
C119	C119_N_0_2_0_c1_v2	No	SRR15652901	C119_N_0_2_0_c1_v2_H7CHMCCXY L008	unsorted	v2
C119	C119_T_0_2_0_c1_v2	Yes	SRR15652902	C119_T_0_2_0_c1_v2_H7CHMCCXY L006	unsorted	v2
C122	C122_N_1_1_0_c1_v2	No	SRR15652903	C122_N_1_1_0_c1_v2_H7CHMCCXY L008	unsorted	v2
C122	C122_N_1_1_0_c1_v2	No	SRR15652904	C122_N_1_1_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C122	C122_N_1_1_1_c1_v2	No	SRR15652905	C122_N_1_1_1_c1_v2_H7CHMCCXY L008	CD45pMACS	v2
C122	C122_N_1_1_1_c1_v2	No	SRR15652906	C122_N_1_1_1_c1_v2_HG2HCCCXY L008_R1	CD45pMACS	v2
C122	C122_N_1_1_1_c1_v2	No	SRR15652907	C122_N_1_1_1_c1_v2_HG3TKCCXY L008_R1	CD45pMACS	v2
C122	C122_T_1_1_0_c1_v2	Yes	SRR15652908	C122_T_1_1_0_c1_v2_H7CHMCCXY L005	unsorted	v2
C122	C122_T_1_1_0_c1_v2	Yes	SRR15652909	C122_T_1_1_0_c1_v2_HG2HCCCXY L003_R1	unsorted	v2
C122	C122_T_1_1_1_c1_v2	Yes	SRR15652910	C122_T_1_1_1_c1_v2_H7CHMCCXY L005	CD45pMACS	v2
C123	C123_N_1_1_0_c1_v2	No	SRR15652911	C123_N_1_1_0_c1_v2_H73Y7CCXY L005	unsorted	v2
C123	C123_N_1_1_0_c1_v2	No	SRR15652912	C123_N_1_1_0_c1_v2_HG2HCCCXY L008_R1	unsorted	v2
C123	C123_N_1_1_1_c1_v2	No	SRR15652913	C123_N_1_1_1_c1_v2_H73Y7CCXY L005	CD45pMACS	v2
C123	C123_N_1_1_1_c1_v2	No	SRR15652914	C123_N_1_1_1_c1_v2_HG2HCCCXY L008_R1	CD45pMACS	v2
C123	C123_N_1_1_1_c1_v2	No	SRR15652915	C123_N_1_1_1_c1_v2_HG3TKCCXY L008_R1	CD45pMACS	v2
C123	C123_T_1_1_0_c1_v2	Yes	SRR15652916	C123_T_1_1_0_c1_v2_H73Y7CCXY L005	unsorted	v2
C123	C123_T_1_1_0_c1_v2	Yes	SRR15652917	C123_T_1_1_0_c1_v2_HG2HCCCXY L004_R1	unsorted	v2
C123	C123_T_1_1_1_c1_v2	Yes	SRR15652918	C123_T_1_1_1_c1_v2_H73Y7CCXY L005	CD45pMACS	v2
C123	C123_T_1_1_1_c1_v2	Yes	SRR15652919	C123_T_1_1_1_c1_v2_HG3C3CCXY L002	CD45pMACS	v2
C124	C124_N_0_3_0_c1_v2	No	SRR15652920	C124_N_0_3_0_c1_v2_HG3C3CCXY L003	unsorted	v2
C124	C124_N_0_3_0_c1_v2	No	SRR15652921	C124_N_0_3_0_c1_v2_HH23LALXX L004	unsorted	v2
C124	C124_N_0_3_1_c1_v2	No	SRR15652922	C124_N_0_3_1_c1_v2_HG3C3CCXY L004	CD45pMACS	v2
C124	C124_N_0_3_1_c1_v2	No	SRR15652923	C124_N_0_3_1_c1_v2_HH23LALXX L004	CD45pMACS	v2
C124	C124_T_0_3_0_c1_v2	Yes	SRR15652924	C124_T_0_3_0_c1_v2_HG2HCCCXY L004_R1	unsorted	v2
C124	C124_T_0_3_0_c1_v2	Yes	SRR15652925	C124_T_0_3_0_c1_v2_HH23LALXX L004	unsorted	v2
C124	C124_T_0_3_1_c1_v2	Yes	SRR15652926	C124_T_0_3_1_c1_v2_HG2HCCCXY L007_R1	CD45pMACS	v2
C124	C124_T_0_3_1_c1_v2	Yes	SRR15652927	C124_T_0_3_1_c1_v2_HH23LALXX L004	CD45pMACS	v2
C125	C125_N_1_1_0_c1_v2	No	SRR15652928	C125_N_1_1_0_c1_v2_HG3C3CCXY L003	unsorted	v2
C125	C125_N_1_1_0_c1_v2	No	SRR15652929	C125_N_1_1_0_c1_v2_HH23LALXX L006	unsorted	v2
C125	C125_N_1_1_1_c1_v2	No	SRR15652930	C125_N_1_1_1_c1_v2_HG3C3CCXY L004	CD45pMACS	v2
C125	C125_N_1_1_1_c1_v2	No	SRR15652931	C125_N_1_1_1_c1_v2_HH23LALXX L006	CD45pMACS	v2
C125	C125_T_1_1_0_c1_v2	Yes	SRR15652932	C125_T_1_1_0_c1_v2_HH23LALXX L005	unsorted	v2
C125	C125_T_1_1_1_c1_v2	Yes	SRR15652933	C125_T_1_1_1_c1_v2_HG3C3CCXY L002	CD45pMACS	v2
C125	C125_T_1_1_1_c1_v2	Yes	SRR15652934	C125_T_1_1_1_c1_v2_HH23LALXX L005	CD45pMACS	v2
C125	C125_T_1_1_1_c2_v2	Yes	SRR15652935	C125_T_1_1_1_c2_v2_HG3C3CCXY L002	CD45pMACS	v2
C125	C125_T_1_1_1_c2_v2	Yes	SRR15652936	C125_T_1_1_1_c2_v2_HH23LALXX L005	CD45pMACS	v2
C126	C126_N_1_1_0_c1_v2	No	SRR15652937	C126_N_1_1_0_c1_v2_HGV3LCCXY L004	unsorted	v2
C126	C126_N_1_1_0_c1_v2	No	SRR15652938	C126_N_1_1_0_c1_v2_HHF2MALXX L006	unsorted	v2
C126	C126_N_1_1_1_c1_v2	No	SRR15652939	C126_N_1_1_1_c1_v2_HGV3LCCXY L006	CD45pMACS	v2
C126	C126_N_1_1_1_c1_v2	No	SRR15652940	C126_N_1_1_1_c1_v2_HHF2MALXX L006	CD45pMACS	v2
C126	C126_N_1_1_1_c2_v2	No	SRR15652941	C126_N_1_1_1_c2_v2_HGV3LCCXY L007	CD45pMACS	v2
C126	C126_N_1_1_1_c2_v2	No	SRR15652942	C126_N_1_1_1_c2_v2_HHF2MALXX L006	CD45pMACS	v2
C126	C126_T_1_1_0_c1_v2	Yes	SRR15652943	C126_T_1_1_0_c1_v2_H73YJCCXY L003	unsorted	v2
C126	C126_T_1_1_0_c1_v2	Yes	SRR15652944	C126_T_1_1_0_c1_v2_HGTYCCCXY L004	unsorted	v2
C126	C126_T_1_1_1_c1_v2	Yes	SRR15652945	C126_T_1_1_1_c1_v2_H73YJCCXY L003	CD45pMACS	v2
C126	C126_T_1_1_1_c1_v2	Yes	SRR15652946	C126_T_1_1_1_c1_v2_HGTYCCCXY L006	CD45pMACS	v2
C126	C126_T_1_1_1_c2_v2	Yes	SRR15652947	C126_T_1_1_1_c2_v2_H73YJCCXY L003	CD45pMACS	v2
C129	C129_N_1_1_0_c1_v2	No	SRR15652948	C129_N_1_1_0_c1_v2_H7KKWCCXY L006	unsorted	v2
C129	C129_N_1_1_0_c1_v2	No	SRR15652949	C129_N_1_1_0_c1_v2_H7KKWCCXY L007	unsorted	v2
C129	C129_N_1_1_1_c1_v2	No	SRR15652950	C129_N_1_1_1_c1_v2_H7KKWCCXY L006	CD45pMACS	v2
C129	C129_N_1_1_1_c1_v2	No	SRR15652951	C129_N_1_1_1_c1_v2_H7KKWCCXY L007	CD45pMACS	v2
C129	C129_N_1_1_1_c1_v2	No	SRR15652952	C129_N_1_1_1_c1_v2_HGV3LCCXY L008	CD45pMACS	v2
C129	C129_T_1_1_0_c1_v2	Yes	SRR15652953	C129_T_1_1_0_c1_v2_H7KJHCCXY L004	unsorted	v2
C129	C129_T_1_1_0_c1_v2	Yes	SRR15652954	C129_T_1_1_0_c1_v2_HGTYCCCXY L001	unsorted	v2
C129	C129_T_1_1_1_c1_v2	Yes	SRR15652955	C129_T_1_1_1_c1_v2_H7KJHCCXY L003	CD45pMACS	v2
C129	C129_T_1_1_1_c1_v2	Yes	SRR15652956	C129_T_1_1_1_c1_v2_HGTYCCCXY L005	CD45pMACS	v2
C130	C130_N_1_1_0_c1_v2	No	SRR15652957	C130_N_1_1_0_c1_v2_H7KKWCCXY L006	unsorted	v2
C130	C130_N_1_1_0_c1_v2	No	SRR15652958	C130_N_1_1_0_c1_v2_H7KKWCCXY L007	unsorted	v2
C130	C130_N_1_1_0_c1_v2	No	SRR15652959	C130_N_1_1_0_c1_v2_HGV3LCCXY L008	unsorted	v2
C130	C130_N_1_1_1_c1_v2	No	SRR15652960	C130_N_1_1_1_c1_v2_H7KKWCCXY L006	CD45pMACS	v2
C130	C130_N_1_1_1_c1_v2	No	SRR15652961	C130_N_1_1_1_c1_v2_H7KKWCCXY L007	CD45pMACS	v2
C130	C130_N_1_1_1_c1_v2	No	SRR15652962	C130_N_1_1_1_c1_v2_HGV3LCCXY L007	CD45pMACS	v2
C130	C130_TA_1_1_0_c1_v2	Yes	SRR15652963	C130_TA_1_1_0_c1_v2_H7KJHCCXY L004	unsorted	v2
C130	C130_TA_1_1_0_c1_v2	Yes	SRR15652964	C130_TA_1_1_0_c1_v2_HGTYCCCXY L003	unsorted	v2
C130	C130_TA_1_1_1_c1_v2	Yes	SRR15652965	C130_TA_1_1_1_c1_v2_H7KJHCCXY L003	CD45pMACS	v2
C130	C130_TA_1_1_1_c1_v2	Yes	SRR15652966	C130_TA_1_1_1_c1_v2_HGTYCCCXY L005	CD45pMACS	v2
C130	C130_TB_1_1_0_c1_v2	Yes	SRR15652967	C130_TB_1_1_0_c1_v2_H7KJHCCXY L004	unsorted	v2
C130	C130_TB_1_1_0_c1_v2	Yes	SRR15652968	C130_TB_1_1_0_c1_v2_HGTYCCCXY L002	unsorted	v2
C130	C130_TB_1_1_1_c1_v2	Yes	SRR15652969	C130_TB_1_1_1_c1_v2_H7KJHCCXY L003	CD45pMACS	v2
C130	C130_TB_1_1_1_c1_v2	Yes	SRR15652970	C130_TB_1_1_1_c1_v2_HGTYCCCXY L006	CD45pMACS	v2
C132	C132_N_1_1_0_c1_v2	No	SRR15652971	C132_N_1_1_0_c1_v2_H7MJCCCXY L007	unsorted	v2
C132	C132_T_1_1_0_c1_v2	Yes	SRR15652972	C132_T_1_1_0_c1_v2_H7MJCCCXY L007	unsorted	v2
C132	C132_T_1_1_0_c1_v2	Yes	SRR15652973	C132_T_1_1_0_c1_v2_HGTYCCCXY L001	unsorted	v2
C132	C132_T_1_1_1_c1_v2	Yes	SRR15652974	C132_T_1_1_1_c1_v2_H7MJCCCXY L007	CD45pMACS	v2
C132	C132_T_1_1_1_c1_v2	Yes	SRR15652975	C132_T_1_1_1_c1_v2_HGTYCCCXY L008	CD45pMACS	v2
C133	C133_N_0_0_0_c1_v2	No	SRR15652976	C133_N_0_0_0_c1_v2_H7MLNCCXY L002	unsorted	v2
C133	C133_N_0_0_0_c1_v2	No	SRR15652977	C133_N_0_0_0_c1_v2_HGV3LCCXY L008	unsorted	v2
C133	C133_T_0_0_0_c1_v2	Yes	SRR15652978	C133_T_0_0_0_c1_v2_H7MLNCCXY L002	unsorted	v2
C133	C133_T_0_0_0_c2_v2	Yes	SRR15652979	C133_T_0_0_0_c2_v2_H7MLNCCXY L002	unsorted	v2
C133	C133_T_0_0_0_c2_v2	Yes	SRR15652980	C133_T_0_0_0_c2_v2_HGTYCCCXY L004	unsorted	v2
C134	C134_N_0_3_0_c1_v2	No	SRR15652981	C134_N_0_3_0_c1_v2_HG3TKCCXY L005	unsorted	v2
C134	C134_N_0_3_1_c1_v2	No	SRR15652982	C134_N_0_3_1_c1_v2_HG3TKCCXY L005	CD45pMACS	v2
C134	C134_T_0_3_0_c1_v2	Yes	SRR15652983	C134_T_0_3_0_c1_v2_HG3TKCCXY L006	unsorted	v2
C134	C134_T_0_3_0_c2_v2	Yes	SRR15652984	C134_T_0_3_0_c2_v2_HG3TKCCXY L006	unsorted	v2
C134	C134_T_0_3_1_c1_v2	Yes	SRR15652985	C134_T_0_3_1_c1_v2_HG3TKCCXY L006	CD45pMACS	v2
C134	C134_T_0_3_1_c2_v2	Yes	SRR15652986	C134_T_0_3_1_c2_v2_HG3TKCCXY L005	CD45pMACS	v2
C135	C135_N_1_1_0_c1_v2	No	SRR15652987	C135_N_1_1_0_c1_v2_HW7HKCCXY L005	unsorted	v2
C135	C135_N_1_1_0_c1_v2	No	SRR15653124	C135_N_1_1_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C135	C135_N_1_1_0_c1_v2	No	SRR15653125	C135_N_1_1_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C135	C135_N_1_1_0_c1_v2	No	SRR15653126	C135_N_1_1_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C135	C135_N_1_1_0_c1_v2	No	SRR15653127	C135_N_1_1_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C135	C135_T_1_1_0_c1_v2	Yes	SRR15652988	C135_T_1_1_0_c1_v2_HW7HKCCXY L005	unsorted	v2
C135	C135_T_1_1_0_c1_v2	Yes	SRR15653128	C135_T_1_1_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C135	C135_T_1_1_0_c1_v2	Yes	SRR15653129	C135_T_1_1_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C135	C135_T_1_1_0_c1_v2	Yes	SRR15653130	C135_T_1_1_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C135	C135_T_1_1_0_c1_v2	Yes	SRR15653131	C135_T_1_1_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
C135	C135_T_1_1_1_c1_v2	Yes	SRR15652989	C135_T_1_1_1_c1_v2_HV22KCCXY L008	CD45pMACS	v2
C135	C135_T_1_1_1_c2_v2	Yes	SRR15652990	C135_T_1_1_1_c2_v2_HV22KCCXY L005	CD45pMACS	v2
C135	C135_T_1_1_1_c2_v2	Yes	SRR15653132	C135_T_1_1_1_c2_v2_H5TVMBGX7 L001	CD45pMACS	v2
C135	C135_T_1_1_1_c2_v2	Yes	SRR15653133	C135_T_1_1_1_c2_v2_H5TVMBGX7 L002	CD45pMACS	v2
C135	C135_T_1_1_1_c2_v2	Yes	SRR15653134	C135_T_1_1_1_c2_v2_H5TVMBGX7 L003	CD45pMACS	v2
C135	C135_T_1_1_1_c2_v2	Yes	SRR15653135	C135_T_1_1_1_c2_v2_H5TVMBGX7 L004	CD45pMACS	v2
C136	C136_N_1_1_0_c1_v2	No	SRR15652991	C136_N_1_1_0_c1_v2_HV22KCCXY L004	unsorted	v2
C136	C136_N_1_1_0_c1_v2	No	SRR15653136	C136_N_1_1_0_c1_v2_HW7JMBGX7 L001	unsorted	v2
C136	C136_N_1_1_0_c1_v2	No	SRR15653137	C136_N_1_1_0_c1_v2_HW7JMBGX7 L002	unsorted	v2
C136	C136_N_1_1_0_c1_v2	No	SRR15653138	C136_N_1_1_0_c1_v2_HW7JMBGX7 L003	unsorted	v2
C136	C136_N_1_1_0_c1_v2	No	SRR15653139	C136_N_1_1_0_c1_v2_HW7JMBGX7 L004	unsorted	v2
C136	C136_N_1_1_1_c1_v2	No	SRR15652992	C136_N_1_1_1_c1_v2_HV22KCCXY L006	CD45pMACS	v2
C136	C136_N_1_1_1_c1_v2	No	SRR15653140	C136_N_1_1_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C136	C136_N_1_1_1_c1_v2	No	SRR15653141	C136_N_1_1_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C136	C136_N_1_1_1_c1_v2	No	SRR15653142	C136_N_1_1_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C136	C136_N_1_1_1_c1_v2	No	SRR15653143	C136_N_1_1_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C136	C136_T_1_1_0_c1_v2	Yes	SRR15652993	C136_T_1_1_0_c1_v2_HTYWNCCXY L007	unsorted	v2
C136	C136_T_1_1_0_c1_v2	Yes	SRR15653144	C136_T_1_1_0_c1_v2_HW7JMBGX7 L001	unsorted	v2
C136	C136_T_1_1_0_c1_v2	Yes	SRR15653145	C136_T_1_1_0_c1_v2_HW7JMBGX7 L002	unsorted	v2
C136	C136_T_1_1_0_c1_v2	Yes	SRR15653146	C136_T_1_1_0_c1_v2_HW7JMBGX7 L003	unsorted	v2
C136	C136_T_1_1_0_c1_v2	Yes	SRR15653147	C136_T_1_1_0_c1_v2_HW7JMBGX7 L004	unsorted	v2
C136	C136_T_1_1_1_c1_v2	Yes	SRR15652994	C136_T_1_1_1_c1_v2_HV22KCCXY L003	CD45pMACS	v2
C136	C136_T_1_1_1_c1_v2	Yes	SRR15653148	C136_T_1_1_1_c1_v2_HW7JMBGX7 L001	CD45pMACS	v2
C136	C136_T_1_1_1_c1_v2	Yes	SRR15653149	C136_T_1_1_1_c1_v2_HW7JMBGX7 L002	CD45pMACS	v2
C136	C136_T_1_1_1_c1_v2	Yes	SRR15653150	C136_T_1_1_1_c1_v2_HW7JMBGX7 L003	CD45pMACS	v2
C136	C136_T_1_1_1_c1_v2	Yes	SRR15653151	C136_T_1_1_1_c1_v2_HW7JMBGX7 L004	CD45pMACS	v2
C136	C136_T_1_1_1_c2_v2	Yes	SRR15652995	C136_T_1_1_1_c2_v2_HV22KCCXY L008	CD45pMACS	v2
C136	C136_T_1_1_1_c2_v2	Yes	SRR15653152	C136_T_1_1_1_c2_v2_HW7JMBGX7 L001	CD45pMACS	v2
C136	C136_T_1_1_1_c2_v2	Yes	SRR15653153	C136_T_1_1_1_c2_v2_HW7JMBGX7 L002	CD45pMACS	v2
C136	C136_T_1_1_1_c2_v2	Yes	SRR15653154	C136_T_1_1_1_c2_v2_HW7JMBGX7 L003	CD45pMACS	v2
C136	C136_T_1_1_1_c2_v2	Yes	SRR15653155	C136_T_1_1_1_c2_v2_HW7JMBGX7 L004	CD45pMACS	v2
C137	C137_N_1_1_0_c1_v2	No	SRR15652996	C137_N_1_1_0_c1_v2_HV22KCCXY L003	unsorted	v2
C137	C137_N_1_1_0_c1_v2	No	SRR15653156	C137_N_1_1_0_c1_v2_HW7JMBGX7 L001	unsorted	v2
C137	C137_N_1_1_0_c1_v2	No	SRR15653157	C137_N_1_1_0_c1_v2_HW7JMBGX7 L002	unsorted	v2
C137	C137_N_1_1_0_c1_v2	No	SRR15653158	C137_N_1_1_0_c1_v2_HW7JMBGX7 L003	unsorted	v2
C137	C137_N_1_1_0_c1_v2	No	SRR15653159	C137_N_1_1_0_c1_v2_HW7JMBGX7 L004	unsorted	v2
C137	C137_N_1_1_1_c1_v2	No	SRR15652997	C137_N_1_1_1_c1_v2_HV22KCCXY L006	CD45pMACS	v2
C137	C137_T_1_1_0_c1_v2	Yes	SRR15652998	C137_T_1_1_0_c1_v2_HV22KCCXY L007	unsorted	v2
C137	C137_T_1_1_0_c1_v2	Yes	SRR15653160	C137_T_1_1_0_c1_v2_HW7JMBGX7 L001	unsorted	v2
C137	C137_T_1_1_0_c1_v2	Yes	SRR15653161	C137_T_1_1_0_c1_v2_HW7JMBGX7 L002	unsorted	v2
C137	C137_T_1_1_0_c1_v2	Yes	SRR15653162	C137_T_1_1_0_c1_v2_HW7JMBGX7 L003	unsorted	v2
C137	C137_T_1_1_0_c1_v2	Yes	SRR15653163	C137_T_1_1_0_c1_v2_HW7JMBGX7 L004	unsorted	v2
C139	C139_N_1_1_0_c1_v2	No	SRR15652999	C139_N_1_1_0_c1_v2_HV22KCCXY L006	unsorted	v2
C139	C139_N_1_1_0_c1_v2	No	SRR15653196	C139_N_1_1_0_c1_v2_H5TVMBGX7 L001	unsorted	v2
C139	C139_N_1_1_0_c1_v2	No	SRR15653197	C139_N_1_1_0_c1_v2_H5TVMBGX7 L002	unsorted	v2
C139	C139_N_1_1_0_c1_v2	No	SRR15653198	C139_N_1_1_0_c1_v2_H5TVMBGX7 L003	unsorted	v2
C139	C139_N_1_1_0_c1_v2	No	SRR15653199	C139_N_1_1_0_c1_v2_H5TVMBGX7 L004	unsorted	v2
