patient	sample	Is_Tumor	Run	lane	ProcessingMethod	10x chemistry (verType)
C150	C150_T_1_1_1_c1_v2	Yes	SRR15653282	C150_T_1_1_1_c1_v2_H2357BGX9 L003	CD45pMACS	v2
C150	C150_T_1_1_1_c1_v2	Yes	SRR15653283	C150_T_1_1_1_c1_v2_H2357BGX9 L004	CD45pMACS	v2
C151	C151_N_0_0_0_c1_v2	No	SRR15653027	C151_N_0_0_0_c1_v2_H2W7JCCX2 L004	unsorted	v2
C151	C151_N_0_0_0_c1_v2	No	SRR15653028	C151_N_0_0_0_c1_v2_HWTLJCCXY L007	unsorted	v2
C151	C151_T_0_0_0_c1_v2	Yes	SRR15653029	C151_T_0_0_0_c1_v2_HY3H7CCXY L008	unsorted	v2
C152	C152_N_0_0_0_c1_v2	No	SRR15653030	C152_N_0_0_0_c1_v2_HY2K3CCXY L001	unsorted	v2
C152	C152_T_0_0_0_c1_v2	Yes	SRR15653031	C152_T_0_0_0_c1_v2_HY2K3CCXY L001	unsorted	v2
C153	C153_T_1_1_0_c1_v2	Yes	SRR15653032	C153_T_1_1_0_c1_v2_HY2K3CCXY L001	unsorted	v2
C153	C153_T_1_1_1_c1_v2	Yes	SRR15653033	C153_T_1_1_1_c1_v2_HY2HLCCXY L003	CD45pMACS	v2
C154	C154_T_1_1_0_c1_v3	Yes	SRR15653034	C154_T_1_1_0_c1_v3_H72F2CCX2 L001	unsorted	v3
C154	C154_T_1_1_0_c1_v3	Yes	SRR15653035	C154_T_1_1_0_c1_v3_H72F2CCX2 L002	unsorted	v3
C154	C154_T_1_1_0_c1_v3	Yes	SRR15653036	C154_T_1_1_0_c1_v3_H72F2CCX2 L003	unsorted	v3
C154	C154_T_1_1_0_c1_v3	Yes	SRR15653037	C154_T_1_1_0_c1_v3_HY3H7CCXY L008	unsorted	v3
C155	C155_N_0_0_0_c1_v3	No	SRR15653038	C155_N_0_0_0_c1_v3_HY2L2CCXY L001	unsorted	v3
C155	C155_T_0_0_0_c1_v3	Yes	SRR15653039	C155_T_0_0_0_c1_v3_H72F2CCX2 L004	unsorted	v3
C155	C155_T_0_0_0_c1_v3	Yes	SRR15653040	C155_T_0_0_0_c1_v3_H72F2CCX2 L005	unsorted	v3
C155	C155_T_0_0_0_c1_v3	Yes	SRR15653041	C155_T_0_0_0_c1_v3_HY2L2CCXY L001	unsorted	v3
C156	C156_T_1_1_0_c1_v3	Yes	SRR15653042	C156_T_1_1_0_c1_v3_H72HCCCX2 L003	unsorted	v3
C156	C156_T_1_1_0_c1_v3	Yes	SRR15653043	C156_T_1_1_0_c1_v3_HY3G5CCXY L003	unsorted	v3
C156	C156_T_1_1_1_c1_v3	Yes	SRR15653044	C156_T_1_1_1_c1_v3_H72HCCCX2 L002	CD45pMACS	v3
C156	C156_T_1_1_1_c1_v3	Yes	SRR15653045	C156_T_1_1_1_c1_v3_HY2L2CCXY L001	CD45pMACS	v3
C157	C157_N_0_0_0_c1_v3	No	SRR15653046	C157_N_0_0_0_c1_v3_HY2L2CCXY L001	unsorted	v3
C157	C157_T_0_0_0_c1_v3	Yes	SRR15653047	C157_T_0_0_0_c1_v3_H72F2CCX2 L001	unsorted	v3
C157	C157_T_0_0_0_c1_v3	Yes	SRR15653048	C157_T_0_0_0_c1_v3_H72F2CCX2 L002	unsorted	v3
C157	C157_T_0_0_0_c1_v3	Yes	SRR15653049	C157_T_0_0_0_c1_v3_H72F2CCX2 L003	unsorted	v3
C157	C157_T_0_0_0_c1_v3	Yes	SRR15653050	C157_T_0_0_0_c1_v3_HY2L2CCXY L006	unsorted	v3
C158	C158_T_1_1_0_c1_v3	Yes	SRR15653051	C158_T_1_1_0_c1_v3_H72HCCCX2 L002	unsorted	v3
C158	C158_T_1_1_0_c1_v3	Yes	SRR15653052	C158_T_1_1_0_c1_v3_HY3G5CCXY L003	unsorted	v3
C158	C158_T_1_1_1_c1_v3	Yes	SRR15653053	C158_T_1_1_1_c1_v3_HY2Y2CCXY L001	CD45pMACS	v3
C159	C159_T_1_1_0_c1_v3	Yes	SRR15653054	C159_T_1_1_0_c1_v3_H72HCCCX2 L006	unsorted	v3
C159	C159_T_1_1_0_c1_v3	Yes	SRR15653055	C159_T_1_1_0_c1_v3_HY2Y2CCXY L001	unsorted	v3
C159	C159_T_1_1_1_c1_v3	Yes	SRR15653056	C159_T_1_1_1_c1_v3_H72HCCCX2 L002	CD45pMACS	v3
C159	C159_T_1_1_1_c1_v3	Yes	SRR15653057	C159_T_1_1_1_c1_v3_HY2Y2CCXY L001	CD45pMACS	v3
C160	C160_T_1_1_0_c1_v3	Yes	SRR15653058	C160_T_1_1_0_c1_v3_H72F2CCX2 L006	unsorted	v3
C160	C160_T_1_1_0_c1_v3	Yes	SRR15653059	C160_T_1_1_0_c1_v3_H72F2CCX2 L007	unsorted	v3
C160	C160_T_1_1_0_c1_v3	Yes	SRR15653060	C160_T_1_1_0_c1_v3_H72F2CCX2 L008	unsorted	v3
C160	C160_T_1_1_0_c1_v3	Yes	SRR15653061	C160_T_1_1_0_c1_v3_HY3CLCCXY L001	unsorted	v3
C161	C161_T_1_1_0_c1_v3	Yes	SRR15653062	C161_T_1_1_0_c1_v3_H72F2CCX2 L006	unsorted	v3
C161	C161_T_1_1_0_c1_v3	Yes	SRR15653063	C161_T_1_1_0_c1_v3_H72F2CCX2 L007	unsorted	v3
C161	C161_T_1_1_0_c1_v3	Yes	SRR15653064	C161_T_1_1_0_c1_v3_H72F2CCX2 L008	unsorted	v3
C161	C161_T_1_1_0_c1_v3	Yes	SRR15653065	C161_T_1_1_0_c1_v3_HWTWCCCXY L008	unsorted	v3
C162	C162_N_0_0_0_c1_v3	No	SRR15653066	C162_N_0_0_0_c1_v3_HY3CLCCXY L001	unsorted	v3
C162	C162_N_0_0_0_c2_v2	No	SRR15653067	C162_N_0_0_0_c2_v2_HY3FNCCXY L004	unsorted	v2
C162	C162_T_0_0_0_c1_v3	Yes	SRR15653068	C162_T_0_0_0_c1_v3_H72F2CCX2 L004	unsorted	v3
C162	C162_T_0_0_0_c1_v3	Yes	SRR15653069	C162_T_0_0_0_c1_v3_H72F2CCX2 L005	unsorted	v3
C162	C162_T_0_0_0_c1_v3	Yes	SRR15653070	C162_T_0_0_0_c1_v3_HY3CLCCXY L001	unsorted	v3
C162	C162_T_0_0_0_c2_v2	Yes	SRR15653071	C162_T_0_0_0_c2_v2_HY3FNCCXY L004	unsorted	v2
C162	C162_T_0_0_1_c1_v3	Yes	SRR15653072	C162_T_0_0_1_c1_v3_H72F2CCX2 L006	CD45pMACS	v3
C162	C162_T_0_0_1_c1_v3	Yes	SRR15653073	C162_T_0_0_1_c1_v3_H72F2CCX2 L007	CD45pMACS	v3
C162	C162_T_0_0_1_c1_v3	Yes	SRR15653074	C162_T_0_0_1_c1_v3_H72F2CCX2 L008	CD45pMACS	v3
C162	C162_T_0_0_1_c1_v3	Yes	SRR15653075	C162_T_0_0_1_c1_v3_HY3CLCCXY L001	CD45pMACS	v3
C162	C162_T_0_0_1_c2_v2	Yes	SRR15653076	C162_T_0_0_1_c2_v2_HY3FNCCXY L004	CD45pMACS	v2
C163	C163_T_1_1_0_c1_v3	Yes	SRR15653077	C163_T_1_1_0_c1_v3_H72HCCCX2 L003	unsorted	v3
C163	C163_T_1_1_0_c1_v3	Yes	SRR15653078	C163_T_1_1_0_c1_v3_HWTWCCCXY L008	unsorted	v3
C164	C164_T_1_1_0_c1_v3	Yes	SRR15653079	C164_T_1_1_0_c1_v3_H72HCCCX2 L004	unsorted	v3
