sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5102550	NextSeq 500	Smart-seq2	40924660	NextSeq 500	PAIRED	Pt0
SRR5102551	NextSeq 500	Smart-seq2	180809016	NextSeq 500	PAIRED	Pt0
SRR5102552	NextSeq 500	Smart-seq2	65751476	NextSeq 500	PAIRED	Pt0
SRR5102553	NextSeq 500	Smart-seq2	125134304	NextSeq 500	PAIRED	Pt0
SRR5102554	NextSeq 500	Smart-seq2	123962840	NextSeq 500	PAIRED	Pt0
SRR5102555	NextSeq 500	Smart-seq2	169188084	NextSeq 500	PAIRED	Pt0
SRR5102556	NextSeq 500	Smart-seq2	129898744	NextSeq 500	PAIRED	Pt0
SRR5102557	NextSeq 500	Smart-seq2	175976936	NextSeq 500	PAIRED	Pt0
SRR5102558	NextSeq 500	Smart-seq2	47060644	NextSeq 500	PAIRED	Pt0
SRR5102559	NextSeq 500	Smart-seq2	122820560	NextSeq 500	PAIRED	Pt0
SRR5102560	NextSeq 500	Smart-seq2	190726484	NextSeq 500	PAIRED	Pt0
SRR5102561	NextSeq 500	Smart-seq2	46453680	NextSeq 500	PAIRED	Pt0
SRR5102562	NextSeq 500	Smart-seq2	8548750	NextSeq 500	PAIRED	Pt0
SRR5102563	NextSeq 500	Smart-seq2	171936244	NextSeq 500	PAIRED	Pt0
SRR5102564	NextSeq 500	Smart-seq2	191640536	NextSeq 500	PAIRED	Pt0
SRR5102565	NextSeq 500	Smart-seq2	180597736	NextSeq 500	PAIRED	Pt0
SRR5102566	NextSeq 500	Smart-seq2	113468304	NextSeq 500	PAIRED	Pt0
SRR5102567	NextSeq 500	Smart-seq2	183292772	NextSeq 500	PAIRED	Pt0
SRR5102568	NextSeq 500	Smart-seq2	115135440	NextSeq 500	PAIRED	Pt0
SRR5102569	NextSeq 500	Smart-seq2	154215704	NextSeq 500	PAIRED	Pt0
SRR5102570	NextSeq 500	Smart-seq2	234104168	NextSeq 500	PAIRED	Pt0
SRR5102571	NextSeq 500	Smart-seq2	144615764	NextSeq 500	PAIRED	Pt0
SRR5102572	NextSeq 500	Smart-seq2	134582396	NextSeq 500	PAIRED	Pt0
SRR5102573	NextSeq 500	Smart-seq2	40567590	NextSeq 500	PAIRED	Pt0
SRR5102574	NextSeq 500	Smart-seq2	24068972	NextSeq 500	PAIRED	Pt0
SRR5102575	NextSeq 500	Smart-seq2	116098284	NextSeq 500	PAIRED	Pt0
SRR5102576	NextSeq 500	Smart-seq2	210486788	NextSeq 500	PAIRED	Pt0
SRR5102577	NextSeq 500	Smart-seq2	144590532	NextSeq 500	PAIRED	Pt0
SRR5102578	NextSeq 500	Smart-seq2	152866628	NextSeq 500	PAIRED	Pt0
SRR5102579	NextSeq 500	Smart-seq2	186165192	NextSeq 500	PAIRED	Pt0
SRR5102580	NextSeq 500	Smart-seq2	232386036	NextSeq 500	PAIRED	Pt0
SRR5102581	NextSeq 500	Smart-seq2	176046324	NextSeq 500	PAIRED	Pt0
SRR5102582	NextSeq 500	Smart-seq2	125116292	NextSeq 500	PAIRED	Pt0
SRR5102583	NextSeq 500	Smart-seq2	124766388	NextSeq 500	PAIRED	Pt0
SRR5102584	NextSeq 500	Smart-seq2	10491810	NextSeq 500	PAIRED	Pt0
SRR5102585	NextSeq 500	Smart-seq2	146896372	NextSeq 500	PAIRED	Pt0
SRR5102586	NextSeq 500	Smart-seq2	109401164	NextSeq 500	PAIRED	Pt0
SRR5102587	NextSeq 500	Smart-seq2	131834160	NextSeq 500	PAIRED	Pt0
SRR5102588	NextSeq 500	Smart-seq2	211359116	NextSeq 500	PAIRED	Pt0
SRR5102589	NextSeq 500	Smart-seq2	151138692	NextSeq 500	PAIRED	Pt0
SRR5102590	NextSeq 500	Smart-seq2	233737088	NextSeq 500	PAIRED	Pt0
SRR5102591	NextSeq 500	Smart-seq2	225773124	NextSeq 500	PAIRED	Pt0
SRR5102592	NextSeq 500	Smart-seq2	163399468	NextSeq 500	PAIRED	Pt0
SRR5102593	NextSeq 500	Smart-seq2	157598388	NextSeq 500	PAIRED	Pt0
SRR5102594	NextSeq 500	Smart-seq2	160221072	NextSeq 500	PAIRED	Pt0
SRR5102595	NextSeq 500	Smart-seq2	149760030	NextSeq 500	PAIRED	Pt0
SRR5102596	NextSeq 500	Smart-seq2	159965712	NextSeq 500	PAIRED	Pt0
SRR5102597	NextSeq 500	Smart-seq2	130055760	NextSeq 500	PAIRED	Pt0
SRR5102598	NextSeq 500	Smart-seq2	108572612	NextSeq 500	PAIRED	Pt0
SRR5102599	NextSeq 500	Smart-seq2	97441424	NextSeq 500	PAIRED	Pt0
SRR5102600	NextSeq 500	Smart-seq2	97715404	NextSeq 500	PAIRED	Pt0
SRR5102601	NextSeq 500	Smart-seq2	136214952	NextSeq 500	PAIRED	Pt0
SRR5102602	NextSeq 500	Smart-seq2	302059416	NextSeq 500	PAIRED	Pt0
SRR5102603	NextSeq 500	Smart-seq2	131581536	NextSeq 500	PAIRED	Pt0
SRR5102604	NextSeq 500	Smart-seq2	77153452	NextSeq 500	PAIRED	Pt0
SRR5102605	NextSeq 500	Smart-seq2	165550192	NextSeq 500	PAIRED	Pt0
SRR5102606	NextSeq 500	Smart-seq2	45833900	NextSeq 500	PAIRED	Pt0
SRR5102607	NextSeq 500	Smart-seq2	125574420	NextSeq 500	PAIRED	Pt0
SRR5102608	NextSeq 500	Smart-seq2	52010600	NextSeq 500	PAIRED	Pt0
SRR5102609	NextSeq 500	Smart-seq2	74338336	NextSeq 500	PAIRED	Pt0
SRR5102610	NextSeq 500	Smart-seq2	58904788	NextSeq 500	PAIRED	Pt0
SRR5102611	NextSeq 500	Smart-seq2	112247896	NextSeq 500	PAIRED	Pt0
SRR5102612	NextSeq 500	Smart-seq2	53191564	NextSeq 500	PAIRED	Pt0
SRR5102613	NextSeq 500	Smart-seq2	209312892	NextSeq 500	PAIRED	Pt0
SRR5102614	NextSeq 500	Smart-seq2	189031076	NextSeq 500	PAIRED	Pt0
SRR5102615	NextSeq 500	Smart-seq2	89999504	NextSeq 500	PAIRED	Pt0
SRR5102616	NextSeq 500	Smart-seq2	71482180	NextSeq 500	PAIRED	Pt0
SRR5102617	NextSeq 500	Smart-seq2	41841240	NextSeq 500	PAIRED	Pt0
SRR5102618	NextSeq 500	Smart-seq2	77486636	NextSeq 500	PAIRED	Pt0
SRR5102619	NextSeq 500	Smart-seq2	95363280	NextSeq 500	PAIRED	Pt0
SRR5102620	NextSeq 500	Smart-seq2	92716884	NextSeq 500	PAIRED	Pt0
SRR5102621	NextSeq 500	Smart-seq2	94802324	NextSeq 500	PAIRED	Pt0
SRR5102622	NextSeq 500	Smart-seq2	36531148	NextSeq 500	PAIRED	Pt0
SRR5102623	NextSeq 500	Smart-seq2	236115964	NextSeq 500	PAIRED	Pt0
SRR5102624	NextSeq 500	Smart-seq2	81377988	NextSeq 500	PAIRED	Pt0
SRR5102625	NextSeq 500	Smart-seq2	73589888	NextSeq 500	PAIRED	Pt0
SRR5102626	NextSeq 500	Smart-seq2	54167784	NextSeq 500	PAIRED	Pt0
SRR5102627	NextSeq 500	Smart-seq2	81475192	NextSeq 500	PAIRED	Pt0
SRR5102628	NextSeq 500	Smart-seq2	53438630	NextSeq 500	PAIRED	Pt0
SRR5102629	NextSeq 500	Smart-seq2	47292064	NextSeq 500	PAIRED	Pt0
SRR5102630	NextSeq 500	Smart-seq2	91784972	NextSeq 500	PAIRED	Pt0
SRR5102631	NextSeq 500	Smart-seq2	72131372	NextSeq 500	PAIRED	Pt0
SRR5102632	NextSeq 500	Smart-seq2	77377424	NextSeq 500	PAIRED	Pt0
SRR5102633	NextSeq 500	Smart-seq2	95583832	NextSeq 500	PAIRED	Pt0
SRR5102634	NextSeq 500	Smart-seq2	34658204	NextSeq 500	PAIRED	Pt0
SRR5102635	NextSeq 500	Smart-seq2	261949656	NextSeq 500	PAIRED	Pt0
SRR5102636	NextSeq 500	Smart-seq2	378024000	NextSeq 500	PAIRED	Pt0
SRR5102637	NextSeq 500	Smart-seq2	61953756	NextSeq 500	PAIRED	Pt0
SRR5102638	NextSeq 500	Smart-seq2	73046412	NextSeq 500	PAIRED	Pt0
SRR5102639	NextSeq 500	Smart-seq2	50872010	NextSeq 500	PAIRED	Pt0
SRR5102640	NextSeq 500	Smart-seq2	108377596	NextSeq 500	PAIRED	Pt0
SRR5102641	NextSeq 500	Smart-seq2	73973156	NextSeq 500	PAIRED	Pt0
SRR5102642	NextSeq 500	Smart-seq2	61272112	NextSeq 500	PAIRED	Pt0
SRR5102643	NextSeq 500	Smart-seq2	97869608	NextSeq 500	PAIRED	Pt0
SRR5102644	NextSeq 500	Smart-seq2	42503684	NextSeq 500	PAIRED	Pt0
SRR5102645	NextSeq 500	Smart-seq2	451120192	NextSeq 500	PAIRED	Pt0
SRR5102646	NextSeq 500	Smart-seq2	111960996	NextSeq 500	PAIRED	Pt0
SRR5102647	NextSeq 500	Smart-seq2	38084740	NextSeq 500	PAIRED	Pt0
SRR5102648	NextSeq 500	Smart-seq2	133816848	NextSeq 500	PAIRED	Pt0
SRR5102649	NextSeq 500	Smart-seq2	24795912	NextSeq 500	PAIRED	Pt0
SRR5102650	NextSeq 500	Smart-seq2	20888980	NextSeq 500	PAIRED	Pt0
SRR5102651	NextSeq 500	Smart-seq2	96470372	NextSeq 500	PAIRED	Pt0
SRR5102652	NextSeq 500	Smart-seq2	69203852	NextSeq 500	PAIRED	Pt0
SRR5102653	NextSeq 500	Smart-seq2	255403852	NextSeq 500	PAIRED	Pt0
SRR5102654	NextSeq 500	Smart-seq2	168412504	NextSeq 500	PAIRED	Pt0
SRR5102655	NextSeq 500	Smart-seq2	217703748	NextSeq 500	PAIRED	Pt0
SRR5102656	NextSeq 500	Smart-seq2	109260564	NextSeq 500	PAIRED	Pt0
SRR5102657	NextSeq 500	Smart-seq2	109455200	NextSeq 500	PAIRED	Pt0
SRR5102658	NextSeq 500	Smart-seq2	100047540	NextSeq 500	PAIRED	Pt0
SRR5102659	NextSeq 500	Smart-seq2	64500440	NextSeq 500	PAIRED	Pt0
SRR5102660	NextSeq 500	Smart-seq2	73984328	NextSeq 500	PAIRED	Pt0
SRR5102661	NextSeq 500	Smart-seq2	6234130	NextSeq 500	PAIRED	Pt0
SRR5102662	NextSeq 500	Smart-seq2	121216884	NextSeq 500	PAIRED	Pt0
SRR5102663	NextSeq 500	Smart-seq2	55741060	NextSeq 500	PAIRED	Pt0
SRR5102664	NextSeq 500	Smart-seq2	88438540	NextSeq 500	PAIRED	Pt0
SRR5102665	NextSeq 500	Smart-seq2	97760320	NextSeq 500	PAIRED	Pt0
SRR5102666	NextSeq 500	Smart-seq2	82365684	NextSeq 500	PAIRED	Pt0
SRR5102667	NextSeq 500	Smart-seq2	3642984	NextSeq 500	PAIRED	Pt0
SRR5102668	NextSeq 500	Smart-seq2	87635676	NextSeq 500	PAIRED	Pt0
SRR5102669	NextSeq 500	Smart-seq2	133398012	NextSeq 500	PAIRED	Pt0
SRR5102670	NextSeq 500	Smart-seq2	34161392	NextSeq 500	PAIRED	Pt0
SRR5102671	NextSeq 500	Smart-seq2	50992580	NextSeq 500	PAIRED	Pt0
SRR5102672	NextSeq 500	Smart-seq2	4143650	NextSeq 500	PAIRED	Pt0
SRR5102673	NextSeq 500	Smart-seq2	139039320	NextSeq 500	PAIRED	Pt0
SRR5102674	NextSeq 500	Smart-seq2	54203732	NextSeq 500	PAIRED	Pt0
SRR5102675	NextSeq 500	Smart-seq2	58753624	NextSeq 500	PAIRED	Pt0
SRR5102676	NextSeq 500	Smart-seq2	38805448	NextSeq 500	PAIRED	Pt0
SRR5102677	NextSeq 500	Smart-seq2	49421280	NextSeq 500	PAIRED	Pt0
SRR5102678	NextSeq 500	Smart-seq2	115730444	NextSeq 500	PAIRED	Pt0
SRR5102679	NextSeq 500	Smart-seq2	32409592	NextSeq 500	PAIRED	Pt0
SRR5102681	NextSeq 500	Smart-seq2	320741736	NextSeq 500	PAIRED	Pt0
SRR5102682	NextSeq 500	Smart-seq2	213102024	NextSeq 500	PAIRED	Pt0
SRR5102683	NextSeq 500	Smart-seq2	223554076	NextSeq 500	PAIRED	Pt0
SRR5102684	NextSeq 500	Smart-seq2	82715284	NextSeq 500	PAIRED	Pt0
SRR5102685	NextSeq 500	Smart-seq2	3054380	NextSeq 500	PAIRED	Pt0
SRR5102686	NextSeq 500	Smart-seq2	126859352	NextSeq 500	PAIRED	Pt0
SRR5102687	NextSeq 500	Smart-seq2	271275008	NextSeq 500	PAIRED	Pt0
SRR5102688	NextSeq 500	Smart-seq2	192966660	NextSeq 500	PAIRED	Pt0
SRR5102689	NextSeq 500	Smart-seq2	282335896	NextSeq 500	PAIRED	Pt0
SRR5102690	NextSeq 500	Smart-seq2	360471572	NextSeq 500	PAIRED	Pt0
SRR5102691	NextSeq 500	Smart-seq2	137697560	NextSeq 500	PAIRED	Pt0
SRR5102692	NextSeq 500	Smart-seq2	179715300	NextSeq 500	PAIRED	Pt0
SRR5102693	NextSeq 500	Smart-seq2	172284856	NextSeq 500	PAIRED	Pt0
SRR5102694	NextSeq 500	Smart-seq2	133941564	NextSeq 500	PAIRED	Pt0
SRR5102695	NextSeq 500	Smart-seq2	113225484	NextSeq 500	PAIRED	Pt0
SRR5102696	NextSeq 500	Smart-seq2	58978290	NextSeq 500	PAIRED	Pt0
SRR5102697	NextSeq 500	Smart-seq2	149771300	NextSeq 500	PAIRED	Pt0
SRR5102698	NextSeq 500	Smart-seq2	226003328	NextSeq 500	PAIRED	Pt0
SRR5102699	NextSeq 500	Smart-seq2	111232004	NextSeq 500	PAIRED	Pt0
SRR5102700	NextSeq 500	Smart-seq2	207335372	NextSeq 500	PAIRED	Pt0
SRR5102701	NextSeq 500	Smart-seq2	118363312	NextSeq 500	PAIRED	Pt0
SRR5102702	NextSeq 500	Smart-seq2	83392444	NextSeq 500	PAIRED	Pt0
SRR5102703	NextSeq 500	Smart-seq2	139896316	NextSeq 500	PAIRED	Pt0
SRR5102704	NextSeq 500	Smart-seq2	122378164	NextSeq 500	PAIRED	Pt0
SRR5102705	NextSeq 500	Smart-seq2	183525636	NextSeq 500	PAIRED	Pt0
SRR5102706	NextSeq 500	Smart-seq2	87150340	NextSeq 500	PAIRED	Pt0
SRR5102707	NextSeq 500	Smart-seq2	81183200	NextSeq 500	PAIRED	Pt0
SRR5102708	NextSeq 500	Smart-seq2	155494328	NextSeq 500	PAIRED	Pt0
SRR5102709	NextSeq 500	Smart-seq2	293957360	NextSeq 500	PAIRED	Pt0
SRR5102710	NextSeq 500	Smart-seq2	368290148	NextSeq 500	PAIRED	Pt0
SRR5102711	NextSeq 500	Smart-seq2	209274284	NextSeq 500	PAIRED	Pt0
SRR5102712	NextSeq 500	Smart-seq2	247422788	NextSeq 500	PAIRED	Pt0
SRR5102713	NextSeq 500	Smart-seq2	317779560	NextSeq 500	PAIRED	Pt0
SRR5102714	NextSeq 500	Smart-seq2	197005072	NextSeq 500	PAIRED	Pt0
SRR5102715	NextSeq 500	Smart-seq2	301642784	NextSeq 500	PAIRED	Pt0
SRR5102716	NextSeq 500	Smart-seq2	58986488	NextSeq 500	PAIRED	Pt0
SRR5102717	NextSeq 500	Smart-seq2	224026264	NextSeq 500	PAIRED	Pt0
SRR5102718	NextSeq 500	Smart-seq2	71605800	NextSeq 500	PAIRED	Pt0
SRR5102719	NextSeq 500	Smart-seq2	254108356	NextSeq 500	PAIRED	Pt0
SRR5102720	NextSeq 500	Smart-seq2	160488972	NextSeq 500	PAIRED	Pt0
SRR5102721	NextSeq 500	Smart-seq2	215295688	NextSeq 500	PAIRED	Pt0
SRR5102722	NextSeq 500	Smart-seq2	203992360	NextSeq 500	PAIRED	Pt0
SRR5102723	NextSeq 500	Smart-seq2	187424892	NextSeq 500	PAIRED	Pt0
SRR5102724	NextSeq 500	Smart-seq2	80577100	NextSeq 500	PAIRED	Pt0
SRR5102725	NextSeq 500	Smart-seq2	230271792	NextSeq 500	PAIRED	Pt0
SRR5102726	NextSeq 500	Smart-seq2	110603028	NextSeq 500	PAIRED	Pt0
SRR5102727	NextSeq 500	Smart-seq2	13858600	NextSeq 500	PAIRED	Pt0
SRR5102728	NextSeq 500	Smart-seq2	226732320	NextSeq 500	PAIRED	Pt0
SRR5102729	NextSeq 500	Smart-seq2	98010710	NextSeq 500	PAIRED	Pt0
SRR5102730	NextSeq 500	Smart-seq2	200452508	NextSeq 500	PAIRED	Pt0
SRR5102731	NextSeq 500	Smart-seq2	62908316	NextSeq 500	PAIRED	Pt0
SRR5102732	NextSeq 500	Smart-seq2	139068828	NextSeq 500	PAIRED	Pt0
SRR5102733	NextSeq 500	Smart-seq2	202868700	NextSeq 500	PAIRED	Pt0
SRR5102734	NextSeq 500	Smart-seq2	188174556	NextSeq 500	PAIRED	Pt0
SRR5102735	NextSeq 500	Smart-seq2	108795216	NextSeq 500	PAIRED	Pt0
SRR5102736	NextSeq 500	Smart-seq2	110983560	NextSeq 500	PAIRED	Pt0
SRR5102737	NextSeq 500	Smart-seq2	106092276	NextSeq 500	PAIRED	Pt0
SRR5102738	NextSeq 500	Smart-seq2	111966620	NextSeq 500	PAIRED	Pt0
SRR5102739	NextSeq 500	Smart-seq2	238172448	NextSeq 500	PAIRED	Pt0
SRR5102740	NextSeq 500	Smart-seq2	71365630	NextSeq 500	PAIRED	Pt0
SRR5102741	NextSeq 500	Smart-seq2	139659880	NextSeq 500	PAIRED	Pt0
SRR5102742	NextSeq 500	Smart-seq2	229856756	NextSeq 500	PAIRED	Pt0
SRR5102743	NextSeq 500	Smart-seq2	103743496	NextSeq 500	PAIRED	Pt0
SRR5102744	NextSeq 500	Smart-seq2	117554064	NextSeq 500	PAIRED	Pt0
SRR5102745	NextSeq 500	Smart-seq2	197050292	NextSeq 500	PAIRED	Pt0
SRR5102746	NextSeq 500	Smart-seq2	54640276	NextSeq 500	PAIRED	Pt0
SRR5102747	NextSeq 500	Smart-seq2	87919004	NextSeq 500	PAIRED	Pt0
SRR5102748	NextSeq 500	Smart-seq2	72898820	NextSeq 500	PAIRED	Pt0
SRR5102749	NextSeq 500	Smart-seq2	100815976	NextSeq 500	PAIRED	Pt0
SRR5102750	NextSeq 500	Smart-seq2	117802736	NextSeq 500	PAIRED	Pt0
SRR5102751	NextSeq 500	Smart-seq2	119070770	NextSeq 500	PAIRED	Pt0
SRR5102752	NextSeq 500	Smart-seq2	177324568	NextSeq 500	PAIRED	Pt0
SRR5102753	NextSeq 500	Smart-seq2	134790332	NextSeq 500	PAIRED	Pt0
SRR5102754	NextSeq 500	Smart-seq2	130377088	NextSeq 500	PAIRED	Pt0
SRR5102755	NextSeq 500	Smart-seq2	46977728	NextSeq 500	PAIRED	Pt0
SRR5102756	NextSeq 500	Smart-seq2	130811428	NextSeq 500	PAIRED	Pt0
SRR5102757	NextSeq 500	Smart-seq2	72844404	NextSeq 500	PAIRED	Pt0
SRR5102758	NextSeq 500	Smart-seq2	62148924	NextSeq 500	PAIRED	Pt0
SRR5102759	NextSeq 500	Smart-seq2	35523996	NextSeq 500	PAIRED	Pt0
SRR5102760	NextSeq 500	Smart-seq2	85573112	NextSeq 500	PAIRED	Pt0
SRR5102761	NextSeq 500	Smart-seq2	90141548	NextSeq 500	PAIRED	Pt0
SRR5102762	NextSeq 500	Smart-seq2	121836400	NextSeq 500	PAIRED	Pt0
SRR5102763	NextSeq 500	Smart-seq2	65324356	NextSeq 500	PAIRED	Pt0
SRR5102764	NextSeq 500	Smart-seq2	110016764	NextSeq 500	PAIRED	Pt0
SRR5102765	NextSeq 500	Smart-seq2	128732068	NextSeq 500	PAIRED	Pt0
SRR5102766	NextSeq 500	Smart-seq2	73268484	NextSeq 500	PAIRED	Pt0
SRR5102767	NextSeq 500	Smart-seq2	34243624	NextSeq 500	PAIRED	Pt0
SRR5102768	NextSeq 500	Smart-seq2	311727680	NextSeq 500	PAIRED	Pt0
SRR5102769	NextSeq 500	Smart-seq2	288422356	NextSeq 500	PAIRED	Pt0
SRR5102770	NextSeq 500	Smart-seq2	187732844	NextSeq 500	PAIRED	Pt0
SRR5102771	NextSeq 500	Smart-seq2	59930332	NextSeq 500	PAIRED	Pt0
SRR5102772	NextSeq 500	Smart-seq2	139414552	NextSeq 500	PAIRED	Pt0
SRR5102773	NextSeq 500	Smart-seq2	145612390	NextSeq 500	PAIRED	Pt0
SRR5102774	NextSeq 500	Smart-seq2	35440168	NextSeq 500	PAIRED	Pt0
SRR5102775	NextSeq 500	Smart-seq2	123960104	NextSeq 500	PAIRED	Pt0
SRR5102776	NextSeq 500	Smart-seq2	100259504	NextSeq 500	PAIRED	Pt0
SRR5102777	NextSeq 500	Smart-seq2	86841096	NextSeq 500	PAIRED	Pt0
SRR5102778	NextSeq 500	Smart-seq2	61134704	NextSeq 500	PAIRED	Pt0
SRR5102779	NextSeq 500	Smart-seq2	132596060	NextSeq 500	PAIRED	Pt0
SRR5102780	NextSeq 500	Smart-seq2	103327472	NextSeq 500	PAIRED	Pt0
SRR5102781	NextSeq 500	Smart-seq2	126987868	NextSeq 500	PAIRED	Pt0
SRR5102782	NextSeq 500	Smart-seq2	52493808	NextSeq 500	PAIRED	Pt0
SRR5102783	NextSeq 500	Smart-seq2	40235084	NextSeq 500	PAIRED	Pt0
SRR5102784	NextSeq 500	Smart-seq2	104182890	NextSeq 500	PAIRED	Pt0
SRR5102785	NextSeq 500	Smart-seq2	122277260	NextSeq 500	PAIRED	Pt0
SRR5102786	NextSeq 500	Smart-seq2	79468944	NextSeq 500	PAIRED	Pt0
SRR5102787	NextSeq 500	Smart-seq2	59100412	NextSeq 500	PAIRED	Pt0
SRR5102788	NextSeq 500	Smart-seq2	129828444	NextSeq 500	PAIRED	Pt0
SRR5102789	NextSeq 500	Smart-seq2	168140272	NextSeq 500	PAIRED	Pt0
SRR5102790	NextSeq 500	Smart-seq2	128504296	NextSeq 500	PAIRED	Pt0
SRR5102791	NextSeq 500	Smart-seq2	102445796	NextSeq 500	PAIRED	Pt0
SRR5102792	NextSeq 500	Smart-seq2	77592580	NextSeq 500	PAIRED	Pt0
SRR5102793	NextSeq 500	Smart-seq2	86898704	NextSeq 500	PAIRED	Pt0
SRR5102794	NextSeq 500	Smart-seq2	108593740	NextSeq 500	PAIRED	Pt0
SRR5102795	NextSeq 500	Smart-seq2	80547308	NextSeq 500	PAIRED	Pt0
SRR5102796	NextSeq 500	Smart-seq2	125674360	NextSeq 500	PAIRED	Pt0
SRR5102797	NextSeq 500	Smart-seq2	77461024	NextSeq 500	PAIRED	Pt0
SRR5102798	NextSeq 500	Smart-seq2	56308628	NextSeq 500	PAIRED	Pt0
SRR5102799	NextSeq 500	Smart-seq2	142269188	NextSeq 500	PAIRED	Pt0
SRR5102800	NextSeq 500	Smart-seq2	156894248	NextSeq 500	PAIRED	Pt0
SRR5102801	NextSeq 500	Smart-seq2	85958508	NextSeq 500	PAIRED	Pt0
SRR5102802	NextSeq 500	Smart-seq2	82280412	NextSeq 500	PAIRED	Pt0
SRR5102803	NextSeq 500	Smart-seq2	92954764	NextSeq 500	PAIRED	Pt0
SRR5102804	NextSeq 500	Smart-seq2	89099360	NextSeq 500	PAIRED	Pt0
SRR5102805	NextSeq 500	Smart-seq2	110699244	NextSeq 500	PAIRED	Pt0
SRR5102806	NextSeq 500	Smart-seq2	85791536	NextSeq 500	PAIRED	Pt0
SRR5102807	NextSeq 500	Smart-seq2	64298500	NextSeq 500	PAIRED	Pt0
SRR5102808	NextSeq 500	Smart-seq2	70410352	NextSeq 500	PAIRED	Pt0
SRR5102809	NextSeq 500	Smart-seq2	207205792	NextSeq 500	PAIRED	Pt0
SRR5102810	NextSeq 500	Smart-seq2	137323184	NextSeq 500	PAIRED	Pt0
SRR5102811	NextSeq 500	Smart-seq2	99938024	NextSeq 500	PAIRED	Pt0
SRR5102812	NextSeq 500	Smart-seq2	166955356	NextSeq 500	PAIRED	Pt0
SRR5102813	NextSeq 500	Smart-seq2	102801780	NextSeq 500	PAIRED	Pt0
SRR5102814	NextSeq 500	Smart-seq2	93708380	NextSeq 500	PAIRED	Pt0
SRR5102815	NextSeq 500	Smart-seq2	86162796	NextSeq 500	PAIRED	Pt0
SRR5102816	NextSeq 500	Smart-seq2	62189508	NextSeq 500	PAIRED	Pt0
SRR5102817	NextSeq 500	Smart-seq2	93396400	NextSeq 500	PAIRED	Pt0
SRR5102818	NextSeq 500	Smart-seq2	147477190	NextSeq 500	PAIRED	Pt0
SRR5102819	NextSeq 500	Smart-seq2	54181464	NextSeq 500	PAIRED	Pt0
SRR5102820	NextSeq 500	Smart-seq2	125964148	NextSeq 500	PAIRED	Pt0
SRR5102821	NextSeq 500	Smart-seq2	53037892	NextSeq 500	PAIRED	Pt0
SRR5102822	NextSeq 500	Smart-seq2	11479496	NextSeq 500	PAIRED	Pt0
SRR5102823	NextSeq 500	Smart-seq2	9219560	NextSeq 500	PAIRED	Pt0
SRR5102824	NextSeq 500	Smart-seq2	87915660	NextSeq 500	PAIRED	Pt0
SRR5102825	NextSeq 500	Smart-seq2	69517428	NextSeq 500	PAIRED	Pt0
SRR5102826	NextSeq 500	Smart-seq2	45946636	NextSeq 500	PAIRED	Pt0
SRR5102827	NextSeq 500	Smart-seq2	66883344	NextSeq 500	PAIRED	Pt0
SRR5102828	NextSeq 500	Smart-seq2	25850792	NextSeq 500	PAIRED	Pt0
SRR5102829	NextSeq 500	Smart-seq2	138303760	NextSeq 500	PAIRED	Pt0
SRR5102830	NextSeq 500	Smart-seq2	38580184	NextSeq 500	PAIRED	Pt0
SRR5102831	NextSeq 500	Smart-seq2	128768244	NextSeq 500	PAIRED	Pt0
SRR5102832	NextSeq 500	Smart-seq2	85590440	NextSeq 500	PAIRED	Pt0
SRR5102833	NextSeq 500	Smart-seq2	92121348	NextSeq 500	PAIRED	Pt0
SRR5102834	NextSeq 500	Smart-seq2	235465480	NextSeq 500	PAIRED	Pt0
SRR5102835	NextSeq 500	Smart-seq2	191286984	NextSeq 500	PAIRED	Pt0
SRR5102836	NextSeq 500	Smart-seq2	118671112	NextSeq 500	PAIRED	Pt0
SRR5102837	NextSeq 500	Smart-seq2	108096548	NextSeq 500	PAIRED	Pt0
SRR5102838	NextSeq 500	Smart-seq2	104321932	NextSeq 500	PAIRED	Pt0
SRR5102839	NextSeq 500	Smart-seq2	175876160	NextSeq 500	PAIRED	Pt0
SRR5102840	NextSeq 500	Smart-seq2	106845690	NextSeq 500	PAIRED	Pt0
SRR5102841	NextSeq 500	Smart-seq2	69802124	NextSeq 500	PAIRED	Pt0
SRR5102842	NextSeq 500	Smart-seq2	206250928	NextSeq 500	PAIRED	Pt0
SRR5102843	NextSeq 500	Smart-seq2	279547304	NextSeq 500	PAIRED	Pt0
SRR5102844	NextSeq 500	Smart-seq2	240399628	NextSeq 500	PAIRED	Pt0
SRR5102845	NextSeq 500	Smart-seq2	241567520	NextSeq 500	PAIRED	Pt0
SRR5102846	NextSeq 500	Smart-seq2	186880276	NextSeq 500	PAIRED	Pt0
SRR5102847	NextSeq 500	Smart-seq2	128874568	NextSeq 500	PAIRED	Pt0
SRR5102848	NextSeq 500	Smart-seq2	93673952	NextSeq 500	PAIRED	Pt0
SRR5102849	NextSeq 500	Smart-seq2	168022928	NextSeq 500	PAIRED	Pt0
SRR5102850	NextSeq 500	Smart-seq2	165064248	NextSeq 500	PAIRED	Pt0
SRR5102851	NextSeq 500	Smart-seq2	174543810	NextSeq 500	PAIRED	Pt0
SRR5102852	NextSeq 500	Smart-seq2	67859716	NextSeq 500	PAIRED	Pt0
SRR5102853	NextSeq 500	Smart-seq2	129891676	NextSeq 500	PAIRED	Pt0
