sample	Instrument	seq_type	Bases	Instrument	LibraryLayout	patient
SRR5102124	NextSeq 500	Smart-seq2	2850532	NextSeq 500	PAIRED	Pt0
SRR5102125	NextSeq 500	Smart-seq2	2667904	NextSeq 500	PAIRED	Pt0
SRR5102131	NextSeq 500	Smart-seq2	2500020	NextSeq 500	PAIRED	Pt0
SRR5102134	NextSeq 500	Smart-seq2	102520580	NextSeq 500	PAIRED	Pt0
SRR5102135	NextSeq 500	Smart-seq2	116943708	NextSeq 500	PAIRED	Pt0
SRR5102136	NextSeq 500	Smart-seq2	110801768	NextSeq 500	PAIRED	Pt0
SRR5102139	NextSeq 500	Smart-seq2	63347368	NextSeq 500	PAIRED	Pt0
SRR5102140	NextSeq 500	Smart-seq2	47512768	NextSeq 500	PAIRED	Pt0
SRR5102142	NextSeq 500	Smart-seq2	105126316	NextSeq 500	PAIRED	Pt0
SRR5102143	NextSeq 500	Smart-seq2	116539464	NextSeq 500	PAIRED	Pt0
SRR5102144	NextSeq 500	Smart-seq2	107924560	NextSeq 500	PAIRED	Pt0
SRR5102146	NextSeq 500	Smart-seq2	110301916	NextSeq 500	PAIRED	Pt0
SRR5102148	NextSeq 500	Smart-seq2	67270412	NextSeq 500	PAIRED	Pt0
SRR5102150	NextSeq 500	Smart-seq2	191516048	NextSeq 500	PAIRED	Pt0
SRR5102151	NextSeq 500	Smart-seq2	170684144	NextSeq 500	PAIRED	Pt0
SRR5102152	NextSeq 500	Smart-seq2	170320332	NextSeq 500	PAIRED	Pt0
SRR5102155	NextSeq 500	Smart-seq2	294009724	NextSeq 500	PAIRED	Pt0
SRR5102157	NextSeq 500	Smart-seq2	129603560	NextSeq 500	PAIRED	Pt0
SRR5102158	NextSeq 500	Smart-seq2	182196776	NextSeq 500	PAIRED	Pt0
SRR5102160	NextSeq 500	Smart-seq2	118759804	NextSeq 500	PAIRED	Pt0
SRR5102162	NextSeq 500	Smart-seq2	122849972	NextSeq 500	PAIRED	Pt0
SRR5102164	NextSeq 500	Smart-seq2	107183256	NextSeq 500	PAIRED	Pt0
SRR5102165	NextSeq 500	Smart-seq2	170290160	NextSeq 500	PAIRED	Pt0
SRR5102341	NextSeq 500	Smart-seq2	22538104	NextSeq 500	PAIRED	Pt0
SRR5102342	NextSeq 500	Smart-seq2	34469724	NextSeq 500	PAIRED	Pt0
SRR5102343	NextSeq 500	Smart-seq2	67498716	NextSeq 500	PAIRED	Pt0
SRR5102344	NextSeq 500	Smart-seq2	84492848	NextSeq 500	PAIRED	Pt0
SRR5102345	NextSeq 500	Smart-seq2	57874304	NextSeq 500	PAIRED	Pt0
SRR5102346	NextSeq 500	Smart-seq2	73738696	NextSeq 500	PAIRED	Pt0
SRR5102347	NextSeq 500	Smart-seq2	25512288	NextSeq 500	PAIRED	Pt0
SRR5102348	NextSeq 500	Smart-seq2	64567168	NextSeq 500	PAIRED	Pt0
SRR5102349	NextSeq 500	Smart-seq2	93690596	NextSeq 500	PAIRED	Pt0
SRR5102350	NextSeq 500	Smart-seq2	63990556	NextSeq 500	PAIRED	Pt0
SRR5102351	NextSeq 500	Smart-seq2	57779820	NextSeq 500	PAIRED	Pt0
SRR5102352	NextSeq 500	Smart-seq2	17632608	NextSeq 500	PAIRED	Pt0
SRR5102353	NextSeq 500	Smart-seq2	16927404	NextSeq 500	PAIRED	Pt0
SRR5102354	NextSeq 500	Smart-seq2	18486620	NextSeq 500	PAIRED	Pt0
SRR5102355	NextSeq 500	Smart-seq2	18490268	NextSeq 500	PAIRED	Pt0
SRR5102356	NextSeq 500	Smart-seq2	29043020	NextSeq 500	PAIRED	Pt0
SRR5102357	NextSeq 500	Smart-seq2	63917748	NextSeq 500	PAIRED	Pt0
SRR5102358	NextSeq 500	Smart-seq2	53364008	NextSeq 500	PAIRED	Pt0
SRR5102359	NextSeq 500	Smart-seq2	18901808	NextSeq 500	PAIRED	Pt0
SRR5102360	NextSeq 500	Smart-seq2	33912112	NextSeq 500	PAIRED	Pt0
SRR5102361	NextSeq 500	Smart-seq2	29364728	NextSeq 500	PAIRED	Pt0
SRR5102362	NextSeq 500	Smart-seq2	46569460	NextSeq 500	PAIRED	Pt0
SRR5102363	NextSeq 500	Smart-seq2	24634640	NextSeq 500	PAIRED	Pt0
SRR5102364	NextSeq 500	Smart-seq2	31277040	NextSeq 500	PAIRED	Pt0
SRR5102365	NextSeq 500	Smart-seq2	18055852	NextSeq 500	PAIRED	Pt0
SRR5102366	NextSeq 500	Smart-seq2	32294528	NextSeq 500	PAIRED	Pt0
SRR5102367	NextSeq 500	Smart-seq2	27623948	NextSeq 500	PAIRED	Pt0
