HNSCC28_P12
HNSCC25_P22
HNSCC25_P19_LN
HNSCC18_P4
HNSCC26_P3
HNSCC17_P7
HNSCC24_P3
HNSCC25_P2
HNSCC22_P5
HNSCC25_P3
HNSCC18_P2
HNSCC25_P1_pri
HNSCC17_P4
HNSCC28_P13
HNSCC26_P1_pri
HNSCC26_P23
HNSCC22_P4
HNSCC28_P1
HNSCC17_P2
HNSCC17_P3
HNSCC25_P20
HNSCC26_P11_R_LN
HNSCC18_P7
HNSCC28_P2
HNSCC18_P3
HNSCC20_P5_pri
HNSCC25_P4
