patient	sample	cell	plate	nCount_RNA	nFeature_RNA	nCount_ERCC	nFeature_ERCC	ERCC_Conc	Condition	ExpectNumCells	Cell_Type	Cell_Type_and_Condition	percent.mt	percent.ercc
P1	S1	P1_E04_S29	P1	4745018.83	11632	1962	12	1^7	Uninfected	1	THP1	THP1-uninfected	9.916430195	0.041331534
P1	S1	P1_E05_S37	P1	4612908.85	10019	2591	12	1^7	Uninfected	1	THP1	THP1-uninfected	9.565215233	0.056136932
P1	S1	P1_E06_S45	P1	4164609.96	8774	4485	8	1^7	Uninfected	1	THP1	THP1-uninfected	8.186743135	0.107577305
P1	S1	P1_E07_S53	P1	7098.98	1793	15	7	1^7	Uninfected	1	THP1	THP1-uninfected	10.88888826	0.210852434
P1	S1	P1_E08_S61	P1	9102509.08	10151	7727	14	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.59607411	0.084816682
P1	S1	P1_E10_S77	P1	7776355.99	6963	12613	12	1^7	Uninfected	1	HCT116	HCT116-uninfected	17.19915719	0.161934141
P1	S1	P1_E11_S85	P1	11240349.82	10634	6879	15	1^7	Uninfected	1	HCT116	HCT116-uninfected	9.709552171	0.061161732
P1	S1	P1_E12_S93	P1	9076752.04	9179	10599	16	1^7	Uninfected	1	HCT116	HCT116-uninfected	8.455066929	0.116634649
P1	S1	P1_F02_S14	P1	17954.96	2818	142	10	1^7	ERCC only	0	ERCC only	ERCC only	7.724884934	0.784662175
P1	S1	P1_F03_S22	P1	4628356.16	10189	1757	14	1^7	Uninfected	1	THP1	THP1-uninfected	7.124676205	0.037947237
P1	S1	P1_F04_S30	P1	5905057.85	10395	3052	15	1^7	Uninfected	1	THP1	THP1-uninfected	7.756523842	0.051657807
P1	S1	P1_F05_S38	P1	5186111.02	10873	2494	14	1^7	Uninfected	1	THP1	THP1-uninfected	8.777141836	0.048066869
P1	S1	P1_F06_S46	P1	2442582.99	7682	3212	11	1^7	Uninfected	1	THP1	THP1-uninfected	10.24390332	0.131327442
P1	S1	P1_F07_S54	P1	6908.0	1858	1	1	1^7	Uninfected	1	THP1	THP1-uninfected	8.620440069	0.014473875
P1	S1	P1_F08_S62	P1	9003194.89	10374	5110	13	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.32025357	0.056725434
P1	S1	P1_F10_S78	P1	7296288.9	8656	4589	14	1^7	Uninfected	1	HCT116	HCT116-uninfected	12.70576183	0.062855455
P1	S1	P1_F11_S86	P1	9959245.87	10339	8382	9	1^7	Uninfected	1	HCT116	HCT116-uninfected	11.35387684	0.084092224
P1	S1	P1_F12_S94	P1	9598324.9	9981	5750	14	1^7	Uninfected	1	HCT116	HCT116-uninfected	7.982027364	0.05987042
P1	S1	P1_G03_S23	P1	4372590.89	8839	5331	10	1^7	Uninfected	1	THP1	THP1-uninfected	10.52659559	0.121770103
P1	S1	P1_G04_S31	P1	5556977.75	10830	2251	14	1^7	Uninfected	1	THP1	THP1-uninfected	8.564446924	0.040491228
P1	S1	P1_G05_S39	P1	4832274.94	9313	3631	12	1^7	Uninfected	1	THP1	THP1-uninfected	7.407459518	0.075084173
P1	S1	P1_G06_S47	P1	5202499.94	9522	4957	12	1^7	Uninfected	1	THP1	THP1-uninfected	7.469418443	0.095190417
