patient	sample	cell	Tumor	plate	well	Run
TH238	LT_S66	K13_B002079	nonTumor	B002079	K13	SRR10798482
TH238	LT_S66	K14_B000420	Tumor	B000420	K14	SRR10798521
TH238	LT_S66	K14_B002077	nonTumor	B002077	K14	SRR10798540
TH238	LT_S66	O5_B000420	nonTumor	B000420	O5	SRR10798579
TH238	LT_S66	O5_B000422	nonTumor	B000422	O5	SRR10798580
TH238	LT_S66	H16_B002077	nonTumor	B002077	H16	SRR10785097
TH238	LT_S66	H16_B002078	Tumor	B002078	H16	SRR10785098
TH238	LT_S66	H16_B002079	Tumor	B002079	H16	SRR10785099
TH238	LT_S66	H19_B002077	nonTumor	B002077	H19	SRR10785145
TH238	LT_S66	H19_B002078	nonTumor	B002078	H19	SRR10785146
TH238	LT_S66	H19_B002079	nonTumor	B002079	H19	SRR10785147
TH238	LT_S66	H2_B000420	nonTumor	B000420	H2	SRR10785196
TH238	LT_S66	H2_B000422	nonTumor	B000422	H2	SRR10785197
TH238	LT_S66	H2_B002077	nonTumor	B002077	H2	SRR10785212
TH238	LT_S66	H2_B002078	nonTumor	B002078	H2	SRR10785213
TH238	LT_S66	H2_B002079	nonTumor	B002079	H2	SRR10785214
TH238	LT_S66	H20_B000420	nonTumor	B000420	H20	SRR10785247
TH238	LT_S66	H20_B000422	nonTumor	B000422	H20	SRR10785248
TH238	LT_S66	H20_B002078	nonTumor	B002078	H20	SRR10785270
TH238	LT_S66	H20_B002079	Tumor	B002079	H20	SRR10785271
TH238	LT_S66	H21_B000420	nonTumor	B000420	H21	SRR10785320
TH238	LT_S66	H21_B002077	nonTumor	B002077	H21	SRR10785343
TH238	LT_S66	H21_B002078	nonTumor	B002078	H21	SRR10785344
TH238	LT_S66	H22_B000422	nonTumor	B000422	H22	SRR10785387
TH238	LT_S66	H22_B002078	Tumor	B002078	H22	SRR10785408
TH238	LT_S66	H22_B002079	nonTumor	B002079	H22	SRR10785409
TH238	LT_S66	H3_B000420	nonTumor	B000420	H3	SRR10785455
TH238	LT_S66	H3_B000422	nonTumor	B000422	H3	SRR10785456
TH238	LT_S66	H3_B002077	nonTumor	B002077	H3	SRR10785476
TH238	LT_S66	H3_B002079	nonTumor	B002079	H3	SRR10785477
TH238	LT_S66	H4_B000422	nonTumor	B000422	H4	SRR10785520
TH238	LT_S66	H4_B002077	nonTumor	B002077	H4	SRR10785537
TH238	LT_S66	H4_B002078	nonTumor	B002078	H4	SRR10785538
TH238	LT_S66	H4_B002079	nonTumor	B002079	H4	SRR10785539
TH238	LT_S66	H6_B002077	nonTumor	B002077	H6	SRR10785572
TH238	LT_S66	H6_B002078	nonTumor	B002078	H6	SRR10785573
TH238	LT_S66	H6_B002079	nonTumor	B002079	H6	SRR10785574
TH238	LT_S66	H7_B000420	nonTumor	B000420	H7	SRR10785617
TH238	LT_S66	H7_B000422	nonTumor	B000422	H7	SRR10785618
TH238	LT_S66	H7_B002077	nonTumor	B002077	H7	SRR10785632
TH238	LT_S66	H7_B002078	nonTumor	B002078	H7	SRR10785633
TH238	LT_S66	H8_B000422	nonTumor	B000422	H8	SRR10785679
TH238	LT_S66	H8_B002077	nonTumor	B002077	H8	SRR10785699
TH238	LT_S66	H9_B000420	nonTumor	B000420	H9	SRR10785742
TH238	LT_S66	H9_B000422	nonTumor	B000422	H9	SRR10785743
TH238	LT_S66	I10_B000420	nonTumor	B000420	I10	SRR10785762
TH238	LT_S66	I10_B002077	nonTumor	B002077	I10	SRR10785781
TH238	LT_S66	I10_B002078	nonTumor	B002078	I10	SRR10785782
TH238	LT_S66	I10_B002079	nonTumor	B002079	I10	SRR10785783
TH238	LT_S66	I11_B000420	Tumor	B000420	I11	SRR10785822
TH238	LT_S66	I11_B002077	nonTumor	B002077	I11	SRR10785836
TH238	LT_S66	I11_B002078	nonTumor	B002078	I11	SRR10785837
TH238	LT_S66	I11_B002079	nonTumor	B002079	I11	SRR10785838
TH238	LT_S66	I12_B000420	nonTumor	B000420	I12	SRR10785872
TH238	LT_S66	I12_B000422	Tumor	B000422	I12	SRR10785873
TH238	LT_S66	I12_B002077	nonTumor	B002077	I12	SRR10785891
TH238	LT_S66	I12_B002078	nonTumor	B002078	I12	SRR10785892
TH238	LT_S66	I13_B000420	Tumor	B000420	I13	SRR10785931
TH238	LT_S66	I13_B000422	nonTumor	B000422	I13	SRR10785932
TH238	LT_S66	I13_B002077	nonTumor	B002077	I13	SRR10785950
TH238	LT_S66	I13_B002079	nonTumor	B002079	I13	SRR10785951
TH238	LT_S66	I14_B000420	nonTumor	B000420	I14	SRR10785997
TH238	LT_S66	I14_B000422	Tumor	B000422	I14	SRR10785998
TH238	LT_S66	I14_B002077	nonTumor	B002077	I14	SRR10786019
TH238	LT_S66	I14_B002078	nonTumor	B002078	I14	SRR10786020
TH238	LT_S66	I14_B002079	nonTumor	B002079	I14	SRR10786021
TH238	LT_S66	I15_B000420	Tumor	B000420	I15	SRR10786065
TH238	LT_S66	I15_B000422	nonTumor	B000422	I15	SRR10786066
TH238	LT_S66	I15_B002078	nonTumor	B002078	I15	SRR10786087
TH238	LT_S66	I15_B002079	Tumor	B002079	I15	SRR10786088
TH238	LT_S66	I17_B000422	nonTumor	B000422	I17	SRR10786106
TH238	LT_S66	I17_B002077	nonTumor	B002077	I17	SRR10786128
TH238	LT_S66	I17_B002078	Tumor	B002078	I17	SRR10786129
TH238	LT_S66	I17_B002079	nonTumor	B002079	I17	SRR10786130
TH238	LT_S66	I18_B000420	nonTumor	B000420	I18	SRR10786174
TH238	LT_S66	I18_B002077	nonTumor	B002077	I18	SRR10786190
TH238	LT_S66	I18_B002078	Tumor	B002078	I18	SRR10786191
TH238	LT_S66	I18_B002079	nonTumor	B002079	I18	SRR10786192
TH238	LT_S66	I19_B000420	nonTumor	B000420	I19	SRR10786238
TH238	LT_S66	I19_B000422	nonTumor	B000422	I19	SRR10786239
TH238	LT_S66	I19_B002077	nonTumor	B002077	I19	SRR10786258
TH238	LT_S66	I19_B002079	nonTumor	B002079	I19	SRR10786259
TH238	LT_S66	I2_B000420	nonTumor	B000420	I2	SRR10786308
TH238	LT_S66	I2_B000422	nonTumor	B000422	I2	SRR10786309
TH238	LT_S66	I2_B002077	nonTumor	B002077	I2	SRR10786323
TH238	LT_S66	I2_B002078	nonTumor	B002078	I2	SRR10786324
TH238	LT_S66	I2_B002079	nonTumor	B002079	I2	SRR10786325
TH238	LT_S66	I20_B000420	nonTumor	B000420	I20	SRR10786367
TH238	LT_S66	I20_B000422	nonTumor	B000422	I20	SRR10786368
TH238	LT_S66	I20_B002077	nonTumor	B002077	I20	SRR10786391
TH238	LT_S66	I21_B000422	nonTumor	B000422	I21	SRR10786443
TH238	LT_S66	I21_B002077	nonTumor	B002077	I21	SRR10786465
TH238	LT_S66	I21_B002078	Tumor	B002078	I21	SRR10786466
TH238	LT_S66	I21_B002079	nonTumor	B002079	I21	SRR10786467
TH238	LT_S66	I22_B000422	Tumor	B000422	I22	SRR10786513
TH238	LT_S66	I22_B002077	nonTumor	B002077	I22	SRR10786532
TH238	LT_S66	I22_B002078	nonTumor	B002078	I22	SRR10786533
TH238	LT_S66	I3_B000420	nonTumor	B000420	I3	SRR10786577
TH238	LT_S66	I3_B000422	nonTumor	B000422	I3	SRR10786578
TH238	LT_S66	I3_B002077	nonTumor	B002077	I3	SRR10786588
TH238	LT_S66	I3_B002078	nonTumor	B002078	I3	SRR10786589
TH238	LT_S66	I4_B000422	nonTumor	B000422	I4	SRR10786627
TH238	LT_S66	I4_B002077	nonTumor	B002077	I4	SRR10786643
TH238	LT_S66	I4_B002078	nonTumor	B002078	I4	SRR10786644
TH238	LT_S66	I4_B002079	nonTumor	B002079	I4	SRR10786645
TH238	LT_S66	I5_B000420	nonTumor	B000420	I5	SRR10786687
TH238	LT_S66	I5_B000422	nonTumor	B000422	I5	SRR10786688
TH238	LT_S66	I5_B002077	nonTumor	B002077	I5	SRR10786705
TH238	LT_S66	I5_B002078	nonTumor	B002078	I5	SRR10786706
TH238	LT_S66	I5_B002079	nonTumor	B002079	I5	SRR10786707
TH238	LT_S66	I6_B000420	nonTumor	B000420	I6	SRR10786742
TH238	LT_S66	I6_B000422	nonTumor	B000422	I6	SRR10786743
TH238	LT_S66	I6_B002077	nonTumor	B002077	I6	SRR10786759
TH238	LT_S66	I6_B002078	nonTumor	B002078	I6	SRR10786760
TH238	LT_S66	I6_B002079	nonTumor	B002079	I6	SRR10786761
TH238	LT_S66	I7_B000422	nonTumor	B000422	I7	SRR10786798
TH238	LT_S66	I7_B002077	nonTumor	B002077	I7	SRR10786815
TH238	LT_S66	I7_B002079	nonTumor	B002079	I7	SRR10786816
TH238	LT_S66	I8_B000420	nonTumor	B000420	I8	SRR10786857
TH238	LT_S66	I8_B000422	nonTumor	B000422	I8	SRR10786858
TH238	LT_S66	I8_B002077	nonTumor	B002077	I8	SRR10786879
TH238	LT_S66	I8_B002078	nonTumor	B002078	I8	SRR10786880
TH238	LT_S66	I8_B002079	nonTumor	B002079	I8	SRR10786881
TH238	LT_S66	I9_B000420	nonTumor	B000420	I9	SRR10786919
TH238	LT_S66	I9_B000422	nonTumor	B000422	I9	SRR10786920
TH238	LT_S66	I9_B002077	nonTumor	B002077	I9	SRR10786933
TH238	LT_S66	I9_B002078	nonTumor	B002078	I9	SRR10786934
TH238	LT_S66	I9_B002079	nonTumor	B002079	I9	SRR10786935
TH238	LT_S66	J1_B000420	nonTumor	B000420	J1	SRR10786974
TH238	LT_S66	J1_B000422	nonTumor	B000422	J1	SRR10786975
TH238	LT_S66	J1_B002077	nonTumor	B002077	J1	SRR10786986
TH238	LT_S66	J1_B002078	nonTumor	B002078	J1	SRR10786987
TH238	LT_S66	J1_B002079	nonTumor	B002079	J1	SRR10786988
TH238	LT_S66	J10_B000422	nonTumor	B000422	J10	SRR10787028
TH238	LT_S66	J10_B002077	nonTumor	B002077	J10	SRR10787044
TH238	LT_S66	J10_B002078	nonTumor	B002078	J10	SRR10787045
TH238	LT_S66	J10_B002079	nonTumor	B002079	J10	SRR10787046
TH238	LT_S66	J11_B000422	Tumor	B000422	J11	SRR10787085
TH238	LT_S66	J11_B002077	Tumor	B002077	J11	SRR10787098
TH238	LT_S66	J11_B002078	nonTumor	B002078	J11	SRR10787099
TH238	LT_S66	J11_B002079	nonTumor	B002079	J11	SRR10787100
TH238	LT_S66	J12_B000422	nonTumor	B000422	J12	SRR10787137
TH238	LT_S66	J12_B002077	Tumor	B002077	J12	SRR10787154
TH238	LT_S66	J12_B002079	Tumor	B002079	J12	SRR10787155
TH238	LT_S66	J13_B000420	nonTumor	B000420	J13	SRR10787195
TH238	LT_S66	J13_B000422	nonTumor	B000422	J13	SRR10787196
TH238	LT_S66	J13_B002077	Tumor	B002077	J13	SRR10787214
TH238	LT_S66	J13_B002078	nonTumor	B002078	J13	SRR10787215
TH238	LT_S66	J13_B002079	Tumor	B002079	J13	SRR10787216
TH238	LT_S66	J14_B000422	nonTumor	B000422	J14	SRR10787252
TH238	LT_S66	J14_B002077	nonTumor	B002077	J14	SRR10787271
TH238	LT_S66	J14_B002078	nonTumor	B002078	J14	SRR10787272
TH238	LT_S66	J14_B002079	nonTumor	B002079	J14	SRR10787273
TH238	LT_S66	J15_B000420	nonTumor	B000420	J15	SRR10787312
TH238	LT_S66	J15_B000422	nonTumor	B000422	J15	SRR10787313
TH238	LT_S66	J15_B002077	nonTumor	B002077	J15	SRR10787332
TH238	LT_S66	J15_B002078	nonTumor	B002078	J15	SRR10787333
TH238	LT_S66	J15_B002079	nonTumor	B002079	J15	SRR10787334
TH238	LT_S66	J16_B000420	nonTumor	B000420	J16	SRR10787374
TH238	LT_S66	J16_B000422	nonTumor	B000422	J16	SRR10787375
TH238	LT_S66	J16_B002078	nonTumor	B002078	J16	SRR10787392
TH238	LT_S66	J16_B002079	nonTumor	B002079	J16	SRR10787393
TH238	LT_S66	J17_B000420	Tumor	B000420	J17	SRR10787437
TH238	LT_S66	J17_B002078	Tumor	B002078	J17	SRR10787458
TH238	LT_S66	J17_B002079	Tumor	B002079	J17	SRR10787459
TH238	LT_S66	J18_B000420	Tumor	B000420	J18	SRR10787502
TH238	LT_S66	J18_B000422	Tumor	B000422	J18	SRR10787503
TH238	LT_S66	J18_B002078	nonTumor	B002078	J18	SRR10787521
TH238	LT_S66	J18_B002079	nonTumor	B002079	J18	SRR10787522
TH238	LT_S66	J19_B000420	nonTumor	B000420	J19	SRR10787560
TH238	LT_S66	J19_B000422	Tumor	B000422	J19	SRR10787561
TH238	LT_S66	J19_B002078	Tumor	B002078	J19	SRR10787580
TH238	LT_S66	J2_B000420	nonTumor	B000420	J2	SRR10787620
TH238	LT_S66	J2_B000422	nonTumor	B000422	J2	SRR10787621
TH238	LT_S66	J2_B002077	nonTumor	B002077	J2	SRR10787636
TH238	LT_S66	J2_B002078	nonTumor	B002078	J2	SRR10787637
TH238	LT_S66	J2_B002079	nonTumor	B002079	J2	SRR10787638
TH238	LT_S66	J20_B000420	nonTumor	B000420	J20	SRR10787679
TH238	LT_S66	J20_B000422	nonTumor	B000422	J20	SRR10787680
TH238	LT_S66	J20_B002077	nonTumor	B002077	J20	SRR10787705
TH238	LT_S66	J20_B002078	nonTumor	B002078	J20	SRR10787706
TH238	LT_S66	J20_B002079	nonTumor	B002079	J20	SRR10787707
TH238	LT_S66	J21_B000422	Tumor	B000422	J21	SRR10787752
TH238	LT_S66	J21_B002077	nonTumor	B002077	J21	SRR10787777
TH238	LT_S66	J22_B002078	nonTumor	B002078	J22	SRR10787838
TH238	LT_S66	J3_B000422	nonTumor	B000422	J3	SRR10787880
TH238	LT_S66	J3_B002077	nonTumor	B002077	J3	SRR10787902
TH238	LT_S66	J3_B002078	nonTumor	B002078	J3	SRR10787903
TH238	LT_S66	J3_B002079	nonTumor	B002079	J3	SRR10787904
TH238	LT_S66	J4_B000420	nonTumor	B000420	J4	SRR10787945
TH238	LT_S66	J4_B000422	nonTumor	B000422	J4	SRR10787946
TH238	LT_S66	J4_B002077	nonTumor	B002077	J4	SRR10787960
TH238	LT_S66	J4_B002079	nonTumor	B002079	J4	SRR10787961
TH238	LT_S66	J5_B000422	nonTumor	B000422	J5	SRR10788003
TH238	LT_S66	J5_B002077	nonTumor	B002077	J5	SRR10788017
TH238	LT_S66	J6_B000420	nonTumor	B000420	J6	SRR10788052
TH238	LT_S66	J6_B000422	nonTumor	B000422	J6	SRR10788053
TH238	LT_S66	J6_B002077	nonTumor	B002077	J6	SRR10788071
TH238	LT_S66	J6_B002078	nonTumor	B002078	J6	SRR10788072
TH238	LT_S66	J6_B002079	nonTumor	B002079	J6	SRR10788073
TH238	LT_S66	J9_B000420	nonTumor	B000420	J9	SRR10788134
TH238	LT_S66	J9_B000422	nonTumor	B000422	J9	SRR10788135
TH238	LT_S66	J9_B002078	nonTumor	B002078	J9	SRR10788148
TH238	LT_S66	J9_B002079	nonTumor	B002079	J9	SRR10788149
TH238	LT_S66	K1_B000420	nonTumor	B000420	K1	SRR10788189
TH238	LT_S66	K1_B002077	nonTumor	B002077	K1	SRR10788203
TH238	LT_S66	K1_B002078	nonTumor	B002078	K1	SRR10788204
TH238	LT_S66	K1_B002079	nonTumor	B002079	K1	SRR10788205
TH238	LT_S66	K10_B000420	nonTumor	B000420	K10	SRR10788242
TH238	LT_S66	K10_B002078	nonTumor	B002078	K10	SRR10788252
TH238	LT_S66	K11_B000420	nonTumor	B000420	K11	SRR10788280
TH238	LT_S66	K11_B000422	nonTumor	B000422	K11	SRR10788281
TH238	LT_S66	K11_B002077	nonTumor	B002077	K11	SRR10788291
TH238	LT_S66	K15_B000420	nonTumor	B000420	K15	SRR10788336
TH238	LT_S66	K15_B000422	nonTumor	B000422	K15	SRR10788337
TH238	LT_S66	K15_B002077	nonTumor	B002077	K15	SRR10788354
TH238	LT_S66	K15_B002078	nonTumor	B002078	K15	SRR10788355
TH238	LT_S66	K15_B002079	nonTumor	B002079	K15	SRR10788356
TH238	LT_S66	K16_B000420	nonTumor	B000420	K16	SRR10788405
TH238	LT_S66	K16_B000422	nonTumor	B000422	K16	SRR10788406
TH238	LT_S66	K16_B002077	Tumor	B002077	K16	SRR10788426
TH238	LT_S66	K16_B002079	nonTumor	B002079	K16	SRR10788427
TH238	LT_S66	K2_B000420	nonTumor	B000420	K2	SRR10788475
TH238	LT_S66	K2_B000422	nonTumor	B000422	K2	SRR10788476
TH238	LT_S66	K2_B002078	nonTumor	B002078	K2	SRR10788492
TH238	LT_S66	K20_B000420	nonTumor	B000420	K20	SRR10788527
TH238	LT_S66	K20_B000422	nonTumor	B000422	K20	SRR10788528
TH238	LT_S66	K20_B002078	nonTumor	B002078	K20	SRR10788547
TH238	LT_S66	K20_B002079	Tumor	B002079	K20	SRR10788548
TH238	LT_S66	L1_B000420	nonTumor	B000420	L1	SRR10788583
TH238	LT_S66	L1_B000422	nonTumor	B000422	L1	SRR10788584
TH238	LT_S66	L1_B002077	nonTumor	B002077	L1	SRR10788599
TH238	LT_S66	L1_B002078	nonTumor	B002078	L1	SRR10788600
TH238	LT_S66	L1_B002079	nonTumor	B002079	L1	SRR10788601
TH238	LT_S66	L12_B000420	nonTumor	B000420	L12	SRR10788661
TH238	LT_S66	L12_B000422	Tumor	B000422	L12	SRR10788662
TH238	LT_S66	L12_B002077	Tumor	B002077	L12	SRR10788678
TH238	LT_S66	L12_B002078	nonTumor	B002078	L12	SRR10788679
TH238	LT_S66	L12_B002079	nonTumor	B002079	L12	SRR10788680
TH238	LT_S66	L13_B000420	Tumor	B000420	L13	SRR10788715
TH238	LT_S66	L16_B000420	Tumor	B000420	L16	SRR10788736
TH238	LT_S66	L16_B002077	nonTumor	B002077	L16	SRR10788755
TH238	LT_S66	L16_B002078	Tumor	B002078	L16	SRR10788756
TH238	LT_S66	L16_B002079	nonTumor	B002079	L16	SRR10788757
TH238	LT_S66	L17_B000420	Tumor	B000420	L17	SRR10788803
TH238	LT_S66	L17_B000422	nonTumor	B000422	L17	SRR10788804
TH238	LT_S66	L17_B002077	nonTumor	B002077	L17	SRR10788822
TH238	LT_S66	L17_B002079	Tumor	B002079	L17	SRR10788823
TH238	LT_S66	L18_B000420	nonTumor	B000420	L18	SRR10788870
TH238	LT_S66	L18_B000422	Tumor	B000422	L18	SRR10788871
TH238	LT_S66	L18_B002077	nonTumor	B002077	L18	SRR10788891
TH238	LT_S66	L18_B002078	nonTumor	B002078	L18	SRR10788892
TH238	LT_S66	L18_B002079	Tumor	B002079	L18	SRR10788893
TH238	LT_S66	L19_B000420	nonTumor	B000420	L19	SRR10788939
TH238	LT_S66	L19_B000422	nonTumor	B000422	L19	SRR10788940
TH238	LT_S66	L19_B002078	Tumor	B002078	L19	SRR10788957
TH238	LT_S66	L19_B002079	Tumor	B002079	L19	SRR10788958
TH238	LT_S66	L2_B000420	nonTumor	B000420	L2	SRR10789000
TH238	LT_S66	L2_B000422	nonTumor	B000422	L2	SRR10789001
TH238	LT_S66	L2_B002078	nonTumor	B002078	L2	SRR10789017
TH238	LT_S66	L2_B002079	nonTumor	B002079	L2	SRR10789018
TH238	LT_S66	L20_B000420	nonTumor	B000420	L20	SRR10789058
TH238	LT_S66	L20_B000422	Tumor	B000422	L20	SRR10789059
TH238	LT_S66	L6_B000420	nonTumor	B000420	L6	SRR10789105
TH238	LT_S66	L6_B000422	nonTumor	B000422	L6	SRR10789106
TH238	LT_S66	L6_B002077	nonTumor	B002077	L6	SRR10789125
TH238	LT_S66	L6_B002078	nonTumor	B002078	L6	SRR10789126
TH238	LT_S66	L6_B002079	nonTumor	B002079	L6	SRR10789127
TH238	LT_S66	L7_B000420	nonTumor	B000420	L7	SRR10789168
TH238	LT_S66	L7_B000422	nonTumor	B000422	L7	SRR10789169
TH238	LT_S66	L7_B002077	nonTumor	B002077	L7	SRR10789185
TH238	LT_S66	L7_B002078	nonTumor	B002078	L7	SRR10789186
TH238	LT_S66	L7_B002079	nonTumor	B002079	L7	SRR10789187
TH238	LT_S66	L8_B000422	nonTumor	B000422	L8	SRR10789228
TH238	LT_S66	L8_B002078	nonTumor	B002078	L8	SRR10789242
TH238	LT_S66	L8_B002079	nonTumor	B002079	L8	SRR10789243
TH238	LT_S66	M1_B002077	nonTumor	B002077	M1	SRR10789270
TH238	LT_S66	M1_B002078	nonTumor	B002078	M1	SRR10789271
TH238	LT_S66	M1_B002079	nonTumor	B002079	M1	SRR10789272
TH238	LT_S66	M10_B000420	nonTumor	B000420	M10	SRR10789311
TH238	LT_S66	M10_B000422	nonTumor	B000422	M10	SRR10789312
TH238	LT_S66	M10_B002078	nonTumor	B002078	M10	SRR10789326
TH238	LT_S66	M10_B002079	nonTumor	B002079	M10	SRR10789327
TH238	LT_S66	M11_B000422	nonTumor	B000422	M11	SRR10789364
TH238	LT_S66	M11_B002077	Tumor	B002077	M11	SRR10789377
TH238	LT_S66	M11_B002078	nonTumor	B002078	M11	SRR10789378
TH238	LT_S66	M12_B000420	nonTumor	B000420	M12	SRR10789418
TH238	LT_S66	M12_B002077	Tumor	B002077	M12	SRR10789432
TH238	LT_S66	M12_B002079	nonTumor	B002079	M12	SRR10789433
TH238	LT_S66	M15_B002077	Tumor	B002077	M15	SRR10789441
TH238	LT_S66	M15_B002079	Tumor	B002079	M15	SRR10789442
TH238	LT_S66	M16_B000422	nonTumor	B000422	M16	SRR10789482
TH238	LT_S66	M16_B002079	Tumor	B002079	M16	SRR10789501
TH238	LT_S66	M17_B000420	nonTumor	B000420	M17	SRR10789544
TH238	LT_S66	M17_B000422	nonTumor	B000422	M17	SRR10789545
TH238	LT_S66	M17_B002077	Tumor	B002077	M17	SRR10789562
TH238	LT_S66	M18_B000420	nonTumor	B000420	M18	SRR10789609
TH238	LT_S66	M18_B000422	Tumor	B000422	M18	SRR10789610
TH238	LT_S66	M19_B000420	nonTumor	B000420	M19	SRR10789667
TH238	LT_S66	M19_B000422	Tumor	B000422	M19	SRR10789668
TH238	LT_S66	M19_B002077	nonTumor	B002077	M19	SRR10789689
TH238	LT_S66	M19_B002079	nonTumor	B002079	M19	SRR10789690
TH238	LT_S66	M2_B000420	nonTumor	B000420	M2	SRR10789733
TH238	LT_S66	M2_B000422	nonTumor	B000422	M2	SRR10789734
TH238	LT_S66	M2_B002077	nonTumor	B002077	M2	SRR10789747
TH238	LT_S66	M2_B002078	nonTumor	B002078	M2	SRR10789748
TH238	LT_S66	M2_B002079	nonTumor	B002079	M2	SRR10789749
TH238	LT_S66	M20_B000422	Tumor	B000422	M20	SRR10789786
TH238	LT_S66	M20_B002077	nonTumor	B002077	M20	SRR10789807
TH238	LT_S66	M21_B000422	nonTumor	B000422	M21	SRR10789852
TH238	LT_S66	M21_B002077	nonTumor	B002077	M21	SRR10789871
TH238	LT_S66	M22_B002077	Tumor	B002077	M22	SRR10789935
TH238	LT_S66	M3_B000422	nonTumor	B000422	M3	SRR10789977
TH238	LT_S66	M3_B002077	nonTumor	B002077	M3	SRR10789993
TH238	LT_S66	M3_B002078	nonTumor	B002078	M3	SRR10789994
TH238	LT_S66	M3_B002079	nonTumor	B002079	M3	SRR10789995
TH238	LT_S66	M4_B000422	nonTumor	B000422	M4	SRR10790035
TH238	LT_S66	M4_B002077	nonTumor	B002077	M4	SRR10790049
TH238	LT_S66	M4_B002078	nonTumor	B002078	M4	SRR10790050
TH238	LT_S66	M5_B000420	nonTumor	B000420	M5	SRR10790089
TH238	LT_S66	M5_B000422	nonTumor	B000422	M5	SRR10790090
TH238	LT_S66	M5_B002079	nonTumor	B002079	M5	SRR10790106
TH238	LT_S66	M6_B000420	nonTumor	B000420	M6	SRR10790144
TH238	LT_S66	M6_B000422	nonTumor	B000422	M6	SRR10790145
TH238	LT_S66	M6_B002078	nonTumor	B002078	M6	SRR10790160
TH238	LT_S66	M6_B002079	nonTumor	B002079	M6	SRR10790161
TH238	LT_S66	M7_B000420	nonTumor	B000420	M7	SRR10790193
TH238	LT_S66	M7_B002077	nonTumor	B002077	M7	SRR10790211
TH238	LT_S66	M7_B002078	nonTumor	B002078	M7	SRR10790212
TH238	LT_S66	M7_B002079	nonTumor	B002079	M7	SRR10790213
TH238	LT_S66	M8_B000420	nonTumor	B000420	M8	SRR10790254
TH238	LT_S66	M8_B000422	nonTumor	B000422	M8	SRR10790255
TH238	LT_S66	M8_B002077	nonTumor	B002077	M8	SRR10790266
TH238	LT_S66	M8_B002078	nonTumor	B002078	M8	SRR10790267
TH238	LT_S66	M8_B002079	nonTumor	B002079	M8	SRR10790268
TH238	LT_S66	M9_B000422	nonTumor	B000422	M9	SRR10790305
TH238	LT_S66	M9_B002077	nonTumor	B002077	M9	SRR10790320
TH238	LT_S66	M9_B002078	nonTumor	B002078	M9	SRR10790321
TH238	LT_S66	N1_B000420	nonTumor	B000420	N1	SRR10790363
TH238	LT_S66	N1_B000422	nonTumor	B000422	N1	SRR10790364
TH238	LT_S66	N1_B002079	nonTumor	B002079	N1	SRR10790378
TH238	LT_S66	N14_B000422	Tumor	B000422	N14	SRR10790443
TH238	LT_S66	N14_B002077	nonTumor	B002077	N14	SRR10790463
TH238	LT_S66	N14_B002079	Tumor	B002079	N14	SRR10790464
TH238	LT_S66	N15_B000420	nonTumor	B000420	N15	SRR10790510
TH238	LT_S66	N15_B000422	Tumor	B000422	N15	SRR10790511
TH238	LT_S66	N15_B002077	Tumor	B002077	N15	SRR10790528
TH238	LT_S66	N15_B002079	Tumor	B002079	N15	SRR10790529
TH238	LT_S66	N16_B000420	nonTumor	B000420	N16	SRR10790569
TH238	LT_S66	N16_B000422	nonTumor	B000422	N16	SRR10790570
TH238	LT_S66	N19_B000420	Tumor	B000420	N19	SRR10790595
TH238	LT_S66	N19_B000422	Tumor	B000422	N19	SRR10790596
TH238	LT_S66	N19_B002079	Tumor	B002079	N19	SRR10790614
TH238	LT_S66	N2_B000420	nonTumor	B000420	N2	SRR10790652
TH238	LT_S66	N2_B000422	nonTumor	B000422	N2	SRR10790653
TH238	LT_S66	N2_B002077	nonTumor	B002077	N2	SRR10790666
TH238	LT_S66	N20_B000422	nonTumor	B000422	N20	SRR10790704
TH238	LT_S66	N20_B002077	nonTumor	B002077	N20	SRR10790726
TH238	LT_S66	N20_B002079	Tumor	B002079	N20	SRR10790727
TH238	LT_S66	N21_B000422	Tumor	B000422	N21	SRR10790772
TH238	LT_S66	N21_B002077	nonTumor	B002077	N21	SRR10790796
TH238	LT_S66	N21_B002079	nonTumor	B002079	N21	SRR10790797
TH238	LT_S66	N22_B000422	nonTumor	B000422	N22	SRR10790836
TH238	LT_S66	N5_B002079	nonTumor	B002079	N5	SRR10790850
TH238	LT_S66	N6_B000420	nonTumor	B000420	N6	SRR10790884
TH238	LT_S66	N6_B000422	nonTumor	B000422	N6	SRR10790885
TH238	LT_S66	N6_B002077	nonTumor	B002077	N6	SRR10790901
TH238	LT_S66	N6_B002079	nonTumor	B002079	N6	SRR10790902
TH238	LT_S66	N9_B000420	nonTumor	B000420	N9	SRR10790954
TH238	LT_S66	N9_B000422	nonTumor	B000422	N9	SRR10790955
TH238	LT_S66	N9_B002077	nonTumor	B002077	N9	SRR10790976
TH238	LT_S66	O1_B000420	nonTumor	B000420	O1	SRR10791013
TH238	LT_S66	O13_B000422	nonTumor	B000422	O13	SRR10791049
TH238	LT_S66	O13_B002077	Tumor	B002077	O13	SRR10791063
TH238	LT_S66	O13_B002079	nonTumor	B002079	O13	SRR10791064
TH238	LT_S66	O14_B000420	Tumor	B000420	O14	SRR10791099
TH238	LT_S66	O14_B000422	nonTumor	B000422	O14	SRR10791100
TH238	LT_S66	O16_B000420	Tumor	B000420	O16	SRR10791137
TH238	LT_S66	O16_B000422	Tumor	B000422	O16	SRR10791138
