entity:sample_id	cellType	fastq1	fastq2	participant
cy106_CD45pos_S345	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S345_R1_001_1015.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S345_R2_001_1015.fastq.gz	Mel106
cy106_CD45pos_S347	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S347_R1_001_1016.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S347_R2_001_1016.fastq.gz	Mel106
cy106_CD45pos_S348	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S348_R1_001_1017.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S348_R2_001_1017.fastq.gz	Mel106
cy106_CD45pos_S349	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S349_R1_001_1018.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S349_R2_001_1018.fastq.gz	Mel106
cy106_CD45pos_S352	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S352_R1_001_1019.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S352_R2_001_1019.fastq.gz	Mel106
cy106_CD45pos_S355	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S355_R1_001_1020.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S355_R2_001_1020.fastq.gz	Mel106
cy106_CD45pos_S357	T_CD4	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S357_R1_001_1021.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S357_R2_001_1021.fastq.gz	Mel106
cy106_CD45pos_S358	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S358_R1_001_1022.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S358_R2_001_1022.fastq.gz	Mel106
cy106_CD45pos_S363	B_cell	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S363_R1_001_1023.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S363_R2_001_1023.fastq.gz	Mel106
cy106_CD45pos_S365	T_CD8	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S365_R1_001_1024.fastq.gz	gs://fc-ffd22ad9-cd76-4df3-8718-3e59a1d52a68/data/cy106_CD45pos_S365_R2_001_1024.fastq.gz	Mel106
