Sample_title	sample	GEO_Accession	patient
scTrioSeq2Rna_CRC11_PT3_752	SRR7461839	GSM3241695	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_755	SRR7461840	GSM3241696	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_756	SRR7461841	GSM3241697	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_757	SRR7461842	GSM3241698	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_758	SRR7461843	GSM3241699	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_759	SRR7461844	GSM3241700	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_760	SRR7461845	GSM3241701	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_762	SRR7461846	GSM3241702	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_763	SRR7461847	GSM3241703	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_764	SRR7461848	GSM3241704	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_766	SRR7461849	GSM3241705	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_769	SRR7461850	GSM3241706	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_770	SRR7461851	GSM3241707	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_772	SRR7461852	GSM3241708	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_773	SRR7461853	GSM3241709	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_774	SRR7461854	GSM3241710	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_776	SRR7461855	GSM3241711	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_778	SRR7461857	GSM3241713	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_779	SRR7461858	GSM3241714	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_781	SRR7461859	GSM3241715	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_785	SRR7461861	GSM3241717	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_786	SRR7461862	GSM3241718	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_787	SRR7461863	GSM3241719	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_788	SRR7461864	GSM3241720	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_789	SRR7461865	GSM3241721	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_790	SRR7461866	GSM3241722	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_791	SRR7461867	GSM3241723	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_792	SRR7461868	GSM3241724	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_794	SRR7461869	GSM3241725	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_795	SRR7461870	GSM3241726	CRC11_PT3
scTrioSeq2Rna_CRC11_PT3_796	SRR7461871	GSM3241727	CRC11_PT3
scTrioSeq2Rna_CRC11_PT4_701	SRR7461872	GSM3241728	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_702	SRR7461873	GSM3241729	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_703	SRR7461874	GSM3241730	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_704	SRR7461875	GSM3241731	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_706	SRR7461876	GSM3241732	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_707	SRR7461877	GSM3241733	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_708	SRR7461878	GSM3241734	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_709	SRR7461879	GSM3241735	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_710	SRR7461880	GSM3241736	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_711	SRR7461881	GSM3241737	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_712	SRR7461882	GSM3241738	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_713	SRR7461883	GSM3241739	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_714	SRR7461884	GSM3241740	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_715	SRR7461885	GSM3241741	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_716	SRR7461886	GSM3241742	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_717	SRR7461887	GSM3241743	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_718	SRR7461888	GSM3241744	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_720	SRR7461889	GSM3241745	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_721	SRR7461890	GSM3241746	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_722	SRR7461891	GSM3241747	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_723	SRR7461892	GSM3241748	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_724	SRR7461893	GSM3241749	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_725	SRR7461894	GSM3241750	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_726	SRR7461895	GSM3241751	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_727	SRR7461896	GSM3241752	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_730	SRR7461897	GSM3241753	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_731	SRR7461898	GSM3241754	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_733	SRR7461899	GSM3241755	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_735	SRR7461900	GSM3241756	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_736	SRR7461901	GSM3241757	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_737	SRR7461902	GSM3241758	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_739	SRR7461903	GSM3241759	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_740	SRR7461904	GSM3241760	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_741	SRR7461905	GSM3241761	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_742	SRR7461906	GSM3241762	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_744	SRR7461907	GSM3241763	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_745	SRR7461908	GSM3241764	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_746	SRR7461909	GSM3241765	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_747	SRR7461910	GSM3241766	CRC11_PT4
scTrioSeq2Rna_CRC11_PT4_748	SRR7461911	GSM3241767	CRC11_PT4
scTrioSeq2Rna_CRC11_LN1_301	SRR7461912	GSM3241768	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_302	SRR7461913	GSM3241769	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_303	SRR7461914	GSM3241770	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_304	SRR7461915	GSM3241771	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_308	SRR7461916	GSM3241772	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_310	SRR7461917	GSM3241773	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_313	SRR7461918	GSM3241774	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_314	SRR7461919	GSM3241775	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_315	SRR7461920	GSM3241776	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_316	SRR7461921	GSM3241777	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_318	SRR7461922	GSM3241778	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_319	SRR7461923	GSM3241779	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_320	SRR7461924	GSM3241780	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_321	SRR7461925	GSM3241781	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_323	SRR7461926	GSM3241782	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_324	SRR7461927	GSM3241783	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_325	SRR7461928	GSM3241784	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_326	SRR7461929	GSM3241785	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_327	SRR7461930	GSM3241786	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_329	SRR7461931	GSM3241787	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_330	SRR7461932	GSM3241788	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_332	SRR7461933	GSM3241789	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_333	SRR7461934	GSM3241790	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_334	SRR7461935	GSM3241791	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_335	SRR7461936	GSM3241792	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_336	SRR7461937	GSM3241793	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_337	SRR7461938	GSM3241794	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_338	SRR7461939	GSM3241795	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_339	SRR7461940	GSM3241796	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_340	SRR7461941	GSM3241797	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_342	SRR7461942	GSM3241798	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_343	SRR7461943	GSM3241799	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_344	SRR7461944	GSM3241800	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_345	SRR7461945	GSM3241801	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_346	SRR7461946	GSM3241802	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_347	SRR7461947	GSM3241803	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_348	SRR7461948	GSM3241804	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_350	SRR7461949	GSM3241805	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_351	SRR7461950	GSM3241806	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_355	SRR7461951	GSM3241807	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_357	SRR7461952	GSM3241808	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_358	SRR7461953	GSM3241809	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_359	SRR7461954	GSM3241810	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_360	SRR7461955	GSM3241811	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_361	SRR7461956	GSM3241812	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_362	SRR7461957	GSM3241813	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_363	SRR7461958	GSM3241814	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_364	SRR7461959	GSM3241815	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_366	SRR7461960	GSM3241816	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_369	SRR7461961	GSM3241817	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_370	SRR7461962	GSM3241818	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_372	SRR7461963	GSM3241819	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_373	SRR7461964	GSM3241820	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_375	SRR7461965	GSM3241821	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_377	SRR7461966	GSM3241822	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_378	SRR7461967	GSM3241823	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_381	SRR7461968	GSM3241824	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_383	SRR7461969	GSM3241825	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_384	SRR7461970	GSM3241826	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_385	SRR7461971	GSM3241827	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_386	SRR7461972	GSM3241828	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_387	SRR7461973	GSM3241829	CRC11_LN1
scTrioSeq2Rna_CRC11_LN1_388	SRR7461974	GSM3241830	CRC11_LN1
scTrioSeq2Rna_CRC06_PT2_229	SRR7461975	GSM3241831	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_230	SRR7461976	GSM3241832	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_231	SRR7461977	GSM3241833	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_236	SRR7461978	GSM3241834	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_237	SRR7461979	GSM3241835	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_239	SRR7461980	GSM3241836	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_240	SRR7461981	GSM3241837	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_166	SRR7461982	GSM3241838	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_169	SRR7461983	GSM3241839	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_172	SRR7461984	GSM3241840	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_175	SRR7461985	GSM3241841	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_176	SRR7461986	GSM3241842	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_177	SRR7461987	GSM3241843	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_178	SRR7461988	GSM3241844	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_179	SRR7461989	GSM3241845	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_180	SRR7461990	GSM3241846	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_185	SRR7461991	GSM3241847	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_186	SRR7461992	GSM3241848	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_193	SRR7461993	GSM3241849	CRC06_PT2
scTrioSeq2Rna_CRC06_PT2_195	SRR7461994	GSM3241850	CRC06_PT2
scTrioSeq2Rna_CRC06_PT3_242	SRR7461995	GSM3241851	CRC06_PT3
scTrioSeq2Rna_CRC06_PT3_245	SRR7461996	GSM3241852	CRC06_PT3
scTrioSeq2Rna_CRC06_PT3_249	SRR7461997	GSM3241853	CRC06_PT3
scTrioSeq2Rna_CRC06_PT3_250	SRR7461998	GSM3241854	CRC06_PT3
scTrioSeq2Rna_CRC06_PT3_255	SRR7461999	GSM3241855	CRC06_PT3
scTrioSeq2Rna_CRC06_PT3_276	SRR7462000	GSM3241856	CRC06_PT3
scTrioSeq2Rna_CRC06_PT3_286	SRR7462001	GSM3241857	CRC06_PT3
scTrioSeq2Rna_CRC06_PT4_290	SRR7462002	GSM3241858	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_292	SRR7462003	GSM3241859	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_294	SRR7462004	GSM3241860	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_295	SRR7462005	GSM3241861	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_296	SRR7462006	GSM3241862	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_303	SRR7462007	GSM3241863	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_310	SRR7462008	GSM3241864	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_311	SRR7462009	GSM3241865	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_312	SRR7462010	GSM3241866	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_314	SRR7462011	GSM3241867	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_316	SRR7462012	GSM3241868	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_317	SRR7462013	GSM3241869	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_319	SRR7462014	GSM3241870	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_325	SRR7462015	GSM3241871	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_326	SRR7462016	GSM3241872	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_327	SRR7462017	GSM3241873	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_328	SRR7462018	GSM3241874	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_329	SRR7462019	GSM3241875	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_333	SRR7462020	GSM3241876	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_336	SRR7462021	GSM3241877	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_337	SRR7462022	GSM3241878	CRC06_PT4
scTrioSeq2Rna_CRC06_PT4_340	SRR7462023	GSM3241879	CRC06_PT4
scTrioSeq2Rna_CRC06_LN1_025	SRR7462024	GSM3241880	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_026	SRR7462025	GSM3241881	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_028	SRR7462026	GSM3241882	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_029	SRR7462027	GSM3241883	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_030	SRR7462028	GSM3241884	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_033	SRR7462029	GSM3241885	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_036	SRR7462030	GSM3241886	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_037	SRR7462031	GSM3241887	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_039	SRR7462032	GSM3241888	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_040	SRR7462033	GSM3241889	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_041	SRR7462034	GSM3241890	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_044	SRR7462035	GSM3241891	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_045	SRR7462036	GSM3241892	CRC06_LN1
scTrioSeq2Rna_CRC06_LN1_048	SRR7462037	GSM3241893	CRC06_LN1
scTrioSeq2Rna_CRC06_LN2_056	SRR7462038	GSM3241894	CRC06_LN2
scTrioSeq2Rna_CRC06_LN3_002	SRR7462039	GSM3241895	CRC06_LN3
scTrioSeq2Rna_CRC06_LN3_003	SRR7462040	GSM3241896	CRC06_LN3
scTrioSeq2Rna_CRC06_LN3_013	SRR7462041	GSM3241897	CRC06_LN3
scTrioSeq2Rna_CRC06_LN3_019	SRR7462042	GSM3241898	CRC06_LN3
scTrioSeq2Rna_CRC06_LN5_110	SRR7462043	GSM3241899	CRC06_LN5
scTrioSeq2Rna_CRC09_PT1_241	SRR7462045	GSM3241901	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_242	SRR7462046	GSM3241902	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_244	SRR7462047	GSM3241903	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_249	SRR7462048	GSM3241904	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_250	SRR7462049	GSM3241905	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_251	SRR7462050	GSM3241906	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_253	SRR7462051	GSM3241907	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_254	SRR7462052	GSM3241908	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_255	SRR7462053	GSM3241909	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_256	SRR7462054	GSM3241910	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_257	SRR7462055	GSM3241911	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_258	SRR7462056	GSM3241912	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_260	SRR7462057	GSM3241913	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_262	SRR7462058	GSM3241914	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_263	SRR7462059	GSM3241915	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_264	SRR7462060	GSM3241916	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_265	SRR7462061	GSM3241917	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_266	SRR7462062	GSM3241918	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_267	SRR7462063	GSM3241919	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_269	SRR7462064	GSM3241920	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_270	SRR7462065	GSM3241921	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_272	SRR7462066	GSM3241922	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_273	SRR7462067	GSM3241923	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_274	SRR7462068	GSM3241924	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_275	SRR7462069	GSM3241925	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_276	SRR7462070	GSM3241926	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_278	SRR7462071	GSM3241927	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_281	SRR7462072	GSM3241928	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_284	SRR7462073	GSM3241929	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_285	SRR7462074	GSM3241930	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_286	SRR7462075	GSM3241931	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_287	SRR7462076	GSM3241932	CRC09_PT1
scTrioSeq2Rna_CRC09_PT1_288	SRR7462077	GSM3241933	CRC09_PT1
scTrioSeq2Rna_CRC09_PT2_322	SRR7462078	GSM3241934	CRC09_PT2
scTrioSeq2Rna_CRC09_PT2_326	SRR7462079	GSM3241935	CRC09_PT2
scTrioSeq2Rna_CRC09_PT2_338	SRR7462080	GSM3241936	CRC09_PT2
scTrioSeq2Rna_CRC09_PT3_459	SRR7462081	GSM3241937	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_460	SRR7462082	GSM3241938	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_463	SRR7462083	GSM3241939	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_466	SRR7462084	GSM3241940	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_470	SRR7462085	GSM3241941	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_474	SRR7462086	GSM3241942	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_481	SRR7462087	GSM3241943	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_484	SRR7462088	GSM3241944	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_486	SRR7462089	GSM3241945	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_487	SRR7462090	GSM3241946	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_489	SRR7462091	GSM3241947	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_490	SRR7462092	GSM3241948	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_492	SRR7462093	GSM3241949	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_496	SRR7462094	GSM3241950	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_606	SRR7462095	GSM3241951	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_609	SRR7462096	GSM3241952	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_611	SRR7462097	GSM3241953	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_612	SRR7462098	GSM3241954	CRC09_PT3
scTrioSeq2Rna_CRC09_PT3_614	SRR7462099	GSM3241955	CRC09_PT3
scTrioSeq2Rna_CRC09_PT4_509	SRR7462100	GSM3241956	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_511	SRR7462101	GSM3241957	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_512	SRR7462102	GSM3241958	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_514	SRR7462103	GSM3241959	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_515	SRR7462104	GSM3241960	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_518	SRR7462105	GSM3241961	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_519	SRR7462106	GSM3241962	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_521	SRR7462107	GSM3241963	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_522	SRR7462108	GSM3241964	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_523	SRR7462109	GSM3241965	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_524	SRR7462110	GSM3241966	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_525	SRR7462111	GSM3241967	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_527	SRR7462112	GSM3241968	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_528	SRR7462113	GSM3241969	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_529	SRR7462114	GSM3241970	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_530	SRR7462115	GSM3241971	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_533	SRR7462116	GSM3241972	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_536	SRR7462117	GSM3241973	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_538	SRR7462118	GSM3241974	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_539	SRR7462119	GSM3241975	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_540	SRR7462120	GSM3241976	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_541	SRR7462121	GSM3241977	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_542	SRR7462122	GSM3241978	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_544	SRR7462123	GSM3241979	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_545	SRR7462124	GSM3241980	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_546	SRR7462125	GSM3241981	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_547	SRR7462126	GSM3241982	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_548	SRR7462127	GSM3241983	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_549	SRR7462128	GSM3241984	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_550	SRR7462129	GSM3241985	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_551	SRR7462130	GSM3241986	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_553	SRR7462131	GSM3241987	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_554	SRR7462132	GSM3241988	CRC09_PT4
scTrioSeq2Rna_CRC09_PT4_556	SRR7462133	GSM3241989	CRC09_PT4
scTrioSeq2Rna_CRC09_PT5_560	SRR7462134	GSM3241990	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_566	SRR7462135	GSM3241991	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_569	SRR7462136	GSM3241992	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_575	SRR7462137	GSM3241993	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_577	SRR7462138	GSM3241994	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_589	SRR7462140	GSM3241996	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_590	SRR7462141	GSM3241997	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_592	SRR7462142	GSM3241998	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_601	SRR7462143	GSM3241999	CRC09_PT5
scTrioSeq2Rna_CRC09_PT5_604	SRR7462144	GSM3242000	CRC09_PT5
scTrioSeq2Rna_CRC10_PT1_154	SRR7462148	GSM3242004	CRC10_PT1
